Timeline,Start time,Duration,Row,Instance number,<flag>.,🔸🔹[OT] Counter-attack,Ungrouped,Notes,Flags
260222_Sunderland_Fulham_ANALYST,0.0,9.970046940192788,"🔹[OSP] Throw-in(R, MZ, pattern?)❌",0,,,,,.
260222_Sunderland_Fulham_ANALYST,0.0,15.440080156382692,"🔹[OSP] Throw-in(R, MZ, turnover)❌⚠️",0,,,,,.
260222_Sunderland_Fulham_ANALYST,0.0,26.83931174792815,"🔹[IP4]Attacking Phase(sloppy, 3 turnovers in 10 sec)❌⚠️",0,,,,,.
260222_Sunderland_Fulham_ANALYST,0.0,20.03014505563442,"🔸[OP3b]Mid Block(R triangle imbalanced, through ball conceded)❌",0,,,,,.
260222_Sunderland_Fulham_ANALYST,0.0,16.454973998834248,"🔸🔹Offensive transition(deep regain, C.-attack, sloppy)🚧",0,,,"🔸🔹[OT] Counter-attack, 🔸🔹[OT] Counter-attack",,.
260222_Sunderland_Fulham_ANALYST,0.0,13.0,"🔹[OSP] Throw-in(L, MZ, CB steps in)✅",0,,,,,.
260222_Sunderland_Fulham_ANALYST,0.0,53.21887230709331,"🔹[OSP] Free kick(central, delivery, block/target? 2nd phase)🚧",0,,,,,.
260222_Sunderland_Fulham_ANALYST,0.0,18.080094781746084,"🔸[OP1a]GK Restart(OS, long)✅",0,,,,,.
260222_Sunderland_Fulham_ANALYST,0.0,41.08603033641134,🔹[IP2]Low Build-up(backpass),0,,,,,.
260222_Sunderland_Fulham_ANALYST,0.0,14.108909441980586,🔹[IP4]Attacking Phase(RTriangle timing)❌🔍,0,,,,,.
260222_Sunderland_Fulham_ANALYST,0.0,17.257309823276728,"🔸[DSP] Throw-in(R, MZ, regain, foul)✅",0,,,,,.
260222_Sunderland_Fulham_ANALYST,0.0,23.716460801314497,"🔹[OSP] Free kick(wide, R, poor delivery)❌",0,,,,,.
260222_Sunderland_Fulham_ANALYST,0.0,23.246666666666897,Game management,0,,,,,.
260222_Sunderland_Fulham_ANALYST,0.0,17.954628061546828,"🔹🔸Defensive transition(poor delivery, C.-attack)❌❌⚠️",0,,,,,.
260222_Sunderland_Fulham_ANALYST,0.0,12.40613679448461,"🔸[DSP] Corner(R, block on Ballard)✅",0,,,,DB Foul - Lutsha - Jiménez,.
260222_Sunderland_Fulham_ANALYST,0.0,16.033410886919683,"🔸[DSP] Throw-in(R, HZ, long)✅",0,,,,,.
260222_Sunderland_Fulham_ANALYST,0.0,17.961559636458787,"🔹[IP1b]GK Restart(OS, LCB steps in, long, 2nd ball, IB with RW, cross)✅⭐️",0,,,,,.
260222_Sunderland_Fulham_ANALYST,0.0,30.51787701389594,"🔹[OSP] Corner(R, poor delivery)❌",0,,,,3v1,.
260222_Sunderland_Fulham_ANALYST,0.0,23.84740338039319,"🔹[IP3b]Progression(RCB through the 6, to the 10, RTRiangle)✅⭐️",0,,,,,.
260222_Sunderland_Fulham_ANALYST,0.0,27.194682949382695,🔹[IP4]Attacking Phase(RTriangle)❌,0,,,,,.
260222_Sunderland_Fulham_ANALYST,0.0,22.123454240526826,🔹🔸Defensive transition(quick regqin)✅,0,,,,,.
260222_Sunderland_Fulham_ANALYST,0.0,19.992911855271814,"🔸[OP1b]GK Restart(OS, long, 1st contact, foul)✅",0,,,,,.
260222_Sunderland_Fulham_ANALYST,0.0,22.91456859709342,"🔹[OSP] Free kick(deep, target??)❌🔍",0,,,,,.
260222_Sunderland_Fulham_ANALYST,0.0,41.52024659799099,"🔹[IP4]Attacking Phase(R-L-R triangles, tempo, opportunities?)✅🔍",0,,,,,.
260222_Sunderland_Fulham_ANALYST,0.0,52.15382203791887,"🔹[OSP] Corner(R, 3-man, shot)✅⭐️",0,,,,,.
260222_Sunderland_Fulham_ANALYST,0.0,36.400195092302965,"🔹🔸Defensive transition(post corner, exposed IB)❌⚠️",0,,,,,.
260222_Sunderland_Fulham_ANALYST,0.0,72.8137596984634,"🔹[IP1a]GK Restart(HBlock, 2nd ball)❌",0,,,,,.
260222_Sunderland_Fulham_ANALYST,0.0,38.400236230414066,🔸[OP3b]Mid Block(good pressure with 10 inside)✅⭐️,0,,,,,.
260222_Sunderland_Fulham_ANALYST,0.0,32.42421989387731,"🔹[IP3a]Progression(LSide too deep, RCB steps in, choices?)❌🔍",0,,,,,.
260222_Sunderland_Fulham_ANALYST,0.0,21.74009387277556,"🔹[OSP] Free kick(deep, target/blocks?, defensive transition, shot from distance)🚧",0,,,,,.
260222_Sunderland_Fulham_ANALYST,0.0,26.237181250667163,"🔸[OP1a]GK Restart(HBlock, organisation)✅⭐️",0,,,,,.
260222_Sunderland_Fulham_ANALYST,0.0,35.737749218843874,"🔸[OP2]High Press(OS, long, 1st contact, 2nd ball)❌",0,,,,,.
260222_Sunderland_Fulham_ANALYST,0.0,23.370089608379203,"🔸[OP4]Low Block(RTRiangle, cross)❌",0,,,,,.
260222_Sunderland_Fulham_ANALYST,0.0,40.67022207280161,"🔸[OP3b]Mid Block(good triggers, LSide triggers, mid regain)✅",0,,,,,.
260222_Sunderland_Fulham_ANALYST,0.0,32.51016521132078,"🔸[OP3b]Mid Block(good control, mid-deep block)✅",0,,,,,.
260222_Sunderland_Fulham_ANALYST,0.0,18.016911201448238,"🔹[IP1a]GK Restart(OS, long, wong target, 2nd ball)❌",0,,,,,.
260222_Sunderland_Fulham_ANALYST,0.0,34.88020607253975,"🔸[OP2]High Press(good pressing, back pass from MZ throw-in)✅⭐️",0,,,,,.
260222_Sunderland_Fulham_ANALYST,0.0,16.610098113889762,"🔹[IP3b]Progression(LCB steps in, into the 10)🚧",0,,,,,.
260222_Sunderland_Fulham_ANALYST,0.0,32.00734069299142,"🔹[OSP] Throw-in(L, MZ)✅",0,,,,,.
260222_Sunderland_Fulham_ANALYST,0.0,25.100727559896768,"🔹[IP2]Low Build-up(IB, next phase?)✅",0,,,,,.
260222_Sunderland_Fulham_ANALYST,0.0,15.550089926066903,"🔸[OP1a]GK Restart(OS, long, 1st contact, 2nd ball)✅",0,,,,,.
260222_Sunderland_Fulham_ANALYST,0.0,37.36872031884104,"🔹[IP3a]Progression(RCB steps in, IB with the 9)✅⭐️",0,,,,,.
260222_Sunderland_Fulham_ANALYST,0.0,31.96016976411738,"🔹[IP4]Attacking Phase(R triangle, through ball, shot ?spontaneity)🚧",0,,,,,.
260222_Sunderland_Fulham_ANALYST,0.0,34.19856625366447,"🔹[IP4]Attacking Phase(LSide, sustained attack, shot near the post)✅✅",0,,,,,.
260222_Sunderland_Fulham_ANALYST,0.0,11.650083831153097,"🔸[OP1a]GK Restart(OS, long, 1st contact, cover)✅",0,,,,,.
260222_Sunderland_Fulham_ANALYST,0.0,16.570094185569815,"🔹[IP2]Low Build-up(OS, long into the 10, flick-on, counter-press)🚧",0,,,,,.
260222_Sunderland_Fulham_ANALYST,0.0,20.58012527655228,"🔸[OP2]High Press(OS, long, 1st contact & 2nd ball lost)❌",0,,,,,.
260222_Sunderland_Fulham_ANALYST,0.0,22.42001797764442,"🔸[OP3b]Mid Block(IB, cross, LSide)❌❌",0,,,,,.
260222_Sunderland_Fulham_ANALYST,0.0,7.310044810090858,"🔸[DSP] Corner(R, MZ, mark/block)❌❌🏈",0,,,,,.
260222_Sunderland_Fulham_ANALYST,0.0,31.837374578644813,🔹[OSP] Kick-off❌,0,,,,,.
260222_Sunderland_Fulham_ANALYST,0.0,24.787276958966686,🔹🔸Defensive transition(C.-attack)❌,0,,,,,.
260222_Sunderland_Fulham_ANALYST,0.0,20.10980865838428,"🔸[DSP] Free kick(wide, L, foul, penalty)❌⚠️",0,,,,,.
260222_Sunderland_Fulham_ANALYST,0.0,10.0,🔸[DSP] Penalty❌❌🏈,0,,,,,.
260222_Sunderland_Fulham_ANALYST,0.0,17.88866395439618,🔹[OSP] Kick-off❌,0,,,,,.
260222_Sunderland_Fulham_ANALYST,0.0,20.63314549587085,"🔸[OP1a]GK Restart(HBlock, 1st contact, 2nd ball)✅",0,,,,,.
260222_Sunderland_Fulham_ANALYST,0.0,12.963038742939716,"🔸[OP2]High Press(good press, long)✅",0,,,,,.
260222_Sunderland_Fulham_ANALYST,0.0,51.27969959406255,"🔹[IP3a]Progression(L-R around, turnover)❌",0,,,,,.
260222_Sunderland_Fulham_ANALYST,0.0,20.090119793990198,"🔸[OP2]High Press(good press, long)✅",0,,,,,.
260222_Sunderland_Fulham_ANALYST,0.0,31.38262536277034,"🔹[IP3b]Progression(LSide, around, through, LTriangle)✅⭐️",0,,,,,.
260222_Sunderland_Fulham_ANALYST,0.0,20.409044769516186,🔹🔸Defensive transition(strong counter-press)✅⭐️,0,,,,,.
260222_Sunderland_Fulham_ANALYST,0.0,20.409044769516186,🔸🔹Offensive transition(shot over the bar)✅✅,0,,,,,.
260222_Sunderland_Fulham_ANALYST,0.0,12.970075900160737,🔸[OP1a]GK Restart(HBlock)✅,0,,,,,.
260222_Sunderland_Fulham_ANALYST,0.0,13.630074983209852,"🔹[IP2]Low Build-up(OS, long, beyond)❌",0,,,,,.
260222_Sunderland_Fulham_ANALYST,0.0,19.790116755641975,"🔸[OP1b]GK Restart(OS, short-long)✅",0,,,,,.
260222_Sunderland_Fulham_ANALYST,0.0,17.490109133079386,"🔹[IP3b]Progression(around, IB, RSide)❌",0,,,,,.
260222_Sunderland_Fulham_ANALYST,0.0,36.33892745690173,"🔸[OP1b]GK Restart(OS, long)✅",0,,,,,.
260222_Sunderland_Fulham_ANALYST,0.0,36.036740887408996,"🔹[IP3a]Progression(postional play, tempo)✅⭐️",0,,,,,.
260222_Sunderland_Fulham_ANALYST,0.0,18.09011369730706,"🔹[OSP] Throw-in(R, HZ, 2-man, cross)✅",0,,,,,.
260222_Sunderland_Fulham_ANALYST,0.0,29.76022249768721,"🔹[IP4]Attacking Phase(LSide, long cross, penalty)✅⭐️",0,,,,,.
260222_Sunderland_Fulham_ANALYST,0.0,8.440040520124967,🔹[OSP] Penalty✅✅⚽️,0,,,,,.
260222_Sunderland_Fulham_ANALYST,0.0,32.29018229878875,🔸[DSP] Kick-off✅,0,,,,,.
260222_Sunderland_Fulham_ANALYST,0.0,16.940118266126774,"🔸🔹Offensive transition(IB, cross)✅",0,,,,,.
260222_Sunderland_Fulham_ANALYST,0.0,16.60009296957105,"🔸[OP1a]GK Restart(HBlock, 1st contact, 2nd ball)✅⭐️",0,,,,,.
260222_Sunderland_Fulham_ANALYST,0.0,28.000032917332646,"🔸[OP3a]High Block(good triggers, long)✅",0,,,,,.
260222_Sunderland_Fulham_ANALYST,0.0,16.660102738868773,"🔹[OSP] Throw-in(R, MZ)❌",0,,,,,.
260222_Sunderland_Fulham_ANALYST,0.0,22.415213416999904,"🔸[DSP] Throw-in(R, MZ, out of position)❌⚠️",0,,,,,.
260222_Sunderland_Fulham_ANALYST,0.0,21.060139311780404,"🔸[OP3a]High Block(long, 1st contact, 2nd ball)✅",0,,,,,.
260222_Sunderland_Fulham_ANALYST,0.0,18.590093877008258,🔸🔹Offensive transition(RSide)🚧,0,,,,,.
260222_Sunderland_Fulham_ANALYST,0.0,24.71022911720138,"🔸[OP1b]GK Restart(OS, long, 1st contact, 2nd ball, off-side)✅⚠️",0,,,,,.
260222_Sunderland_Fulham_ANALYST,0.0,28.320149062858945,"🔸[OP4]Low Block(through, RSide cross)❌⚠️",0,,,,,.
260222_Sunderland_Fulham_ANALYST,0.0,11.380070410403277,"🔸[DSP] Corner(L, MZ, blocks)❌⚠️",0,,,,,.
260222_Sunderland_Fulham_ANALYST,0.0,30.850140201392605,"🔹[IP1a]GK Restart(OS, through FB, around, switch)✅⭐️",0,,,,,.
260222_Sunderland_Fulham_ANALYST,0.0,19.778141433518613,"🔸[OP1a]GK Restart(HBlock, 1st contact)✅",0,,,,,.
260222_Sunderland_Fulham_ANALYST,0.0,43.20654336505686,"🔹[OSP] Free kick(deep, 2nd phase, wrong target, C.-attack)❌⚠️",0,,,,,.
260222_Sunderland_Fulham_ANALYST,0.0,23.015933063885313,🔹🔸Defensive transition(C.-attack)❌❌🏈,0,,,,,.
260222_Sunderland_Fulham_ANALYST,0.0,60.79031485748783,"🔹[IP3b]Progression(RSIde, through, into the 9, turnover)🚧",0,,,,,.
260222_Sunderland_Fulham_ANALYST,0.0,13.74414231605624,"🔹[OSP] Throw-in(R, DZ, flip the pressure into the 9)✅⭐️",0,,,,,.
260222_Sunderland_Fulham_ANALYST,0.0,22.98776570003247,"🔸[OP1a]GK Restart(HBlock, 1st contact, 2nd ball, cross)❌",0,,,,,.
260222_Sunderland_Fulham_ANALYST,0.0,23.46016520462763,"🔸[DSP] Corner(R, 3-man, R-triangle)❌⚠️",0,,,,,.
260222_Sunderland_Fulham_ANALYST,0.0,26.320152110870367,"🔸[OP2]High Press(strong press, long)✅⭐️",0,,,,,.
260222_Sunderland_Fulham_ANALYST,0.0,20.810133215823043,"🔸[OP2]High Press(long, 1st contact)✅",0,,,,,.
260222_Sunderland_Fulham_ANALYST,0.0,18.55011887677483,"🔹[OSP] Throw-in(L, HZ, long, block/target?)🚧",0,,,,,.
260222_Sunderland_Fulham_ANALYST,0.0,28.26064696933736,"🔹[IP4]Attacking Phase(LSide, into the 9)✅",0,,,,,.
260222_Sunderland_Fulham_ANALYST,0.0,10.050062486364368,🔸[OP1b]GK Restart(HBlock)✅,0,,,,,.
260222_Sunderland_Fulham_ANALYST,0.0,21.400248183344956,"🔹[IP4]Attacking Phase9LSide, early cross)✅⭐️",0,,,,,.
260222_Sunderland_Fulham_ANALYST,0.0,31.89999754166456,"🔸[OP1b]GK Restart(HBlock, 1st contact lost)❌",0,,,,,.
260222_Sunderland_Fulham_ANALYST,0.0,11.210079864175896,🔸🔹Offensive transition(quick turnover)❌,0,,,,,.
