Timeline,Start time,Duration,Row,Instance number,<flag>.,Adversaire,Contexte,Date,HALF TIME,Journée,Lieu,MINUTE,Pourcentage,Qualite,Score final,TIME PERIOD,Type action,⚽️,✅,✅✅,❌❌,🔸🔹[OT] Clear the ball,🔸🔹[OT] Counter-attack,🔸🔹[OT] Keep the ball,🔹🔸[DT] Back in,🔹🔸[DT] Quick regain,Ungrouped,Notes,Flags
251206_ManchesterCity_Sunderland_ANALYST2ANGLES,0.0,12.390058819477417,"🔹[IP1a]GK Restart(HBlock, 2nd ball, backpass)🚧",0,,,,,,,,,,,,,,,,,,,,,,,,,.
251206_ManchesterCity_Sunderland_ANALYST2ANGLES,0.0,11.780071930273266,"🔹[IP2]Low Build-up(around, foul/off side)✅",0,,,,,,,,,,,,,,,,,,,,,,,,,.
251206_ManchesterCity_Sunderland_ANALYST2ANGLES,0.0,14.919353333556955,"🔹[OSP] Free kick(deep, foul)❌",0,,,,,,,,,,,,,,,,,,,,,,,,,.
251206_ManchesterCity_Sunderland_ANALYST2ANGLES,0.0,20.22606223825005,"🔸[OP1a]GK Restart(MFM press, deep regain)✅",0,,,,,,,,,,,,,,,,,,,,,,,,,.
251206_ManchesterCity_Sunderland_ANALYST2ANGLES,0.0,61.41913390070101,"🔹[IP2]Low Build-up(spare man, 2 phases, shot)✅⭐️",0,,,,,,,,,,,,,,,,,,,,,,,,,.
251206_ManchesterCity_Sunderland_ANALYST2ANGLES,0.0,22.910142327390986,"🔸[OP1a]GK Restart(MFM, high regain)✅⭐️",0,,,,,,,,,,,,,,,,,,,,,,,,,.
251206_ManchesterCity_Sunderland_ANALYST2ANGLES,0.0,59.204967791069066,"🔹[IP2]Low Build-up(composure, IB pass missed)🚧⭐️",0,,,,,,,,,,,,,,,,,,,,,,,🔹🔸[DT] Back in,,.
251206_ManchesterCity_Sunderland_ANALYST2ANGLES,0.0,9.370068264048314,"🔸[OP4]Low Block(RTRiangle, run IB non controlled, cross)❌⚠️",0,,,,,,,,,,,,,,,,,,,,,,,,,.
251206_ManchesterCity_Sunderland_ANALYST2ANGLES,0.0,14.88008411631904,"🔹[IP1a]GK Restart(OS, mid-range LWB, sloppey turnover)❌",0,,,,,,,,,,,,,,,,,,,,,,,,,.
251206_ManchesterCity_Sunderland_ANALYST2ANGLES,0.0,25.153802112262383,"🔸[OP4]Low Block(proactive press RS, through managed)✅⭐️",0,,,,,,,,,,,,,,,,,,,,,,,,,.
251206_ManchesterCity_Sunderland_ANALYST2ANGLES,0.0,25.222242123290016,"🔹[IP2]Low Build-up(room to be cleaner under pressure, foul gained)🚧",0,,,,,,,,,,,,,,,,,,,,,,,,,.
251206_ManchesterCity_Sunderland_ANALYST2ANGLES,0.0,17.700124920800363,"🔹[IP2]Low Build-up(in the pressing trap, sloppy long pass)❌",0,,,,,,,,,,,,,,,,,,,,,,,🔹🔸[DT] Back in,,.
251206_ManchesterCity_Sunderland_ANALYST2ANGLES,0.0,10.593445895976629,🔸[OP4]Low Block(IB)✅,0,,,,,,,,,,,,,,,,,,,,,,,,,.
251206_ManchesterCity_Sunderland_ANALYST2ANGLES,0.0,28.489822831648098,🔸🔹Offensive transition(2 consecutive turnovers)❌,0,,,,,,,,,,,,,,,,,,,,,,,"🔸🔹[OT] Keep the ball, 🔹🔸[DT] Quick regain",,.
251206_ManchesterCity_Sunderland_ANALYST2ANGLES,0.0,20.44014264777502,"🔸[OP4]Low Block(RTriangle, 1v1, cross)❌",0,,,,,,,,,,,,,,,,,,,,,,,🔸🔹[OT] Counter-attack,,.
251206_ManchesterCity_Sunderland_ANALYST2ANGLES,0.0,13.680070411971428,🔸🔹Offensive transition(quick turnover)❌,0,,,,,,,,,,,,,,,,,,,,,,,,,.
251206_ManchesterCity_Sunderland_ANALYST2ANGLES,0.0,11.59311562513426,🔸[OP4]Low Block(RSide interception)✅,0,,,,,,,,,,,,,,,,,,,,,,,,,.
251206_ManchesterCity_Sunderland_ANALYST2ANGLES,0.0,15.626295211405932,"🔸🔹Offensive transition(counter-attack, shot)✅",0,,,,,,,,,,,,,,,,,,,,,,,🔸🔹[OT] Counter-attack,,.
251206_ManchesterCity_Sunderland_ANALYST2ANGLES,0.0,36.46011033772015,"🔹[OSP] Corner(R, far post, 2nd phase?)🚧",0,,,,,,,,,,,,,,,,,,,,,,,,,.
251206_ManchesterCity_Sunderland_ANALYST2ANGLES,0.0,24.61852975395027,"🔹🔸Defensive transition(counter, on the edge)🚧",0,,,,,,,,,,,,,,,,,,,,,,,,,.
251206_ManchesterCity_Sunderland_ANALYST2ANGLES,0.0,14.48906881421317,"🔸🔹Offensive transition(counter, sloppy turnover)❌",0,,,,,,,,,,,,,,,,,,,,,,,🔸🔹[OT] Counter-attack,,.
251206_ManchesterCity_Sunderland_ANALYST2ANGLES,0.0,72.30465955705517,"🔸[OP4]Low Block(LTriangle, composure OP)✅⭐️",0,,,,,,,,,,,,,,,,,,,,,,,,,.
251206_ManchesterCity_Sunderland_ANALYST2ANGLES,0.0,34.80137139599992,"🔸[OP4]Low Block(LTriangle, through)✅⭐️",0,,,,,,,,,,,,,,,,,,,,,,,,,.
251206_ManchesterCity_Sunderland_ANALYST2ANGLES,0.0,34.99409254753277,"🔹[IP1b]GK Restart(8"", around, through)✅⭐️",0,,,,,,,,,,,,,,,,,,,,,,,,,.
251206_ManchesterCity_Sunderland_ANALYST2ANGLES,0.0,18.27008961508227,🔸[OP2]High Press(efficient press)✅,0,,,,,,,,,,,,,,,,,,,,,,,,,.
251206_ManchesterCity_Sunderland_ANALYST2ANGLES,0.0,20.75074529390872,"🔸[OP4]Low Block(RSide, early cross)✅",0,,,,,,,,,,,,,,,,,,,,,,,,,.
251206_ManchesterCity_Sunderland_ANALYST2ANGLES,0.0,36.0,"🔹[IP1b]GK Restart(8"", mid range LWB, switch)✅⭐️",0,,,,,,,,,,,,,,,,,,,,,,,,,.
