Timeline,Start time,Duration,Row,Instance number,<flag>.,<flag>Keep,Corner Taken,Event,Foul and Card Events,Half,Pass,Player,Team,Zone,✅,🔸[DSP],🔸[OP] --> 🔹[IP],🔸[OP] Box Defence,🔸[OP] Restart Phase,🔸[OP] Zonal Defence,🔹[IP] Progression Phase,🔹[IP] Restart Phase,🔹[IP]--> 🔸[OP],🔹[OSP],Ungrouped,Notes,Flags
251018_Sunderland_Wolves_ANALYST3ANGLES,0.0,26.20187796258574,"🔸[OP1a] GK Restart(OS, short, long)✅",0,,,,,,,,,,,,,,,,,,,,,,,.
251018_Sunderland_Wolves_ANALYST3ANGLES,0.0,40.84418267873639,🔹[OSP] Attacking Free Kick(2 phases)🚧,0,,,,,,,,,,,,,,,,,,,,"Right, Att 1/3",,,.
251018_Sunderland_Wolves_ANALYST3ANGLES,0.0,14.170117065243176,"🔹[OSP] Attacking Throw In(R, long)✅✅",0,,,,,,,,,,,,,,,,,,,,"Right, Att 1/3, Long",,,.
251018_Sunderland_Wolves_ANALYST3ANGLES,0.0,30.09457366672177,"🔸[OP1a] GK Restart(OS, long)✅",0,,,,,,,,,,,,,,,Direct (OS),,,,,,,,.
251018_Sunderland_Wolves_ANALYST3ANGLES,0.0,20.060113391439927,"🔹[OSP] Attacking Throw In(L, MZ)❌",0,,,,,,,,,,,,,,,,,,,,,,,.
251018_Sunderland_Wolves_ANALYST3ANGLES,0.0,19.545360687828406,"🔸[OP2] High Press(backpass, off the shoulder of the winger)🚧",0,,,,,,,,,,,,,,,,,,,,,,,.
251018_Sunderland_Wolves_ANALYST3ANGLES,0.0,51.15281777871064,"🔸[OP4] Low Block(IB, RTriangle)✅",0,,,,,,,,,,,,,,,,Side Overloads,,,,,,,.
251018_Sunderland_Wolves_ANALYST3ANGLES,0.0,24.5,🔸🔹Defensive Transition(silly turnover)❌⚠️,0,,,,,,,,,,,,,,,,,,,,,,,.
251018_Sunderland_Wolves_ANALYST3ANGLES,0.0,33.13219632823325,"🔹[I1a] GK Restart(OS, spare-man, turnover)❌",0,,,,,,,,,,,,,,,,,,"Short, Around",,,,,"Keep, ."
251018_Sunderland_Wolves_ANALYST3ANGLES,0.0,18.5,🔸🔹Defensive Transition(silly turnover)❌⚠️,0,,,,,,,,,,,,,,,,,,,Regain Zonal Defence,,,,.
251018_Sunderland_Wolves_ANALYST3ANGLES,0.0,11.812661995788403,🔸[DSP] Defending Free Kick(R)✅,0,,,,,,,,,,,,"Right, Def 1/3",,,,,,,,,,,.
251018_Sunderland_Wolves_ANALYST3ANGLES,0.0,9.630067361399824,🔸[DSP] Defending Corner(R)✅,0,,,In-swinger,Pass,,First Half,"Corner taken, Cross, Chipped",Jhon Arias,Wolverhampton Wanderers,Center,,Right,,,,,,,,,,,.
251018_Sunderland_Wolves_ANALYST3ANGLES,0.0,19.51010882112496,"🔸[DSP] Defending Throw In(R, long)✅",0,,,,,,,,,,,,"Right, Def 1/3, Long",,,,,,,,,,,.
251018_Sunderland_Wolves_ANALYST3ANGLES,0.0,8.390054258786904,"🔹[I1a] GK Restart(OS, long, innacurate pass)❌",0,,,,,,,,,,,,,,,,,,,,,,,.
251018_Sunderland_Wolves_ANALYST3ANGLES,0.0,33.273715822164604,"🔸[OP4] Low Block(IB, silly foul)⚠️",0,,,,,,,,,,,,,,,,,,,,,,10,.
251018_Sunderland_Wolves_ANALYST3ANGLES,0.0,14.790081688578994,"🔸[DSP] Defending Free Kick(R, 2 men)✅",0,,,,Pass,,First Half,"Free kick taken, Direct",Jhon Arias,Wolverhampton Wanderers,Center,,Central,,,,,,,,,,,.
251018_Sunderland_Wolves_ANALYST3ANGLES,0.0,15.559976224489901,"🔹[I1a] GK Restart(OS, long, Front3)❌",0,,,,,,,,,,,,,,,,,,"OS: LONG, Front 3",,,,,"Keep, ."
251018_Sunderland_Wolves_ANALYST3ANGLES,0.0,42.83129833208386,"🔸[OP2] High Press(MFM, long, 2nd ball)❌",0,,,,,,,,,,,,,,,,,,,,,,,.
251018_Sunderland_Wolves_ANALYST3ANGLES,0.0,29.280163386771164,"🔸[OP5] Defend the Box(LTriangle, 2 crosses)✅",0,,,,,,,,,,,,,,Crosses Conceded,,,,,,,,,.
251018_Sunderland_Wolves_ANALYST3ANGLES,0.0,22.45997173044225,🔹🔸Offensive transition(silly turnover)❌⚠️,0,,,,,,,,,,,,,,,,,,,,,,,.
251018_Sunderland_Wolves_ANALYST3ANGLES,0.0,40.591874196629306,"🔹[I1a] GK Restart(OS, spare-man, long 2nd phase)❌",0,,,,,,,,,,,,,,,,,,,,,,,.
251018_Sunderland_Wolves_ANALYST3ANGLES,0.0,12.110081381093096,🔸[OP4] Low Block(cross)✅,0,,,,,,,,,,,,,,,,,,,,,,,.
251018_Sunderland_Wolves_ANALYST3ANGLES,0.0,22.025110696348747,"🔹[I1a] GK Restart(HBlock, 2nd ball)✅",0,,,,,,,,,,,,,,,,,,Compact Shape: LONG,,,,,.
251018_Sunderland_Wolves_ANALYST3ANGLES,0.0,40.465667678441605,🔹[IP4] Attacking Phase(LSide)✅,0,,,,,,,,,,,,,,,,,,,,,,,.
251018_Sunderland_Wolves_ANALYST3ANGLES,0.0,38.58164019702417,🔹[IP4] Attacking Phase(RSide)✅,0,,,,,,,,,,,,,,,,,,,,,,,.
251018_Sunderland_Wolves_ANALYST3ANGLES,0.0,30.690255781634278,🔹[OSP] Attacking Corner(R)✅✅,0,,,In-swinger,Pass,,First Half,"Cross, Corner taken, Long ball, Chipped",Granit Xhaka,Sunderland,Center,,,,,,,,,,,,,.
251018_Sunderland_Wolves_ANALYST3ANGLES,0.0,21.846736792999764,🔸🔹Defensive Transition(post corner)✅🔎,0,,,,,,,,,,,,,,,,,,,Counter Press,,,,.
251018_Sunderland_Wolves_ANALYST3ANGLES,0.0,18.58997043466934,"🔹[I1a] GK Restart(HBlock, foul)❌",0,,,,,,,,,,,,,,,,,,Compact Shape: LONG,,,,,.
251018_Sunderland_Wolves_ANALYST3ANGLES,0.0,36.370197773303516,"🔸[OP3a] High Block(high press, long ball, 2nd ball)🚧",0,,,,,,,,,,,,,,,,,,,,,,,.
251018_Sunderland_Wolves_ANALYST3ANGLES,0.0,19.247603755104137,"🔸[OP4] Low Block(RSide, cross stopped)✅",0,,,,,,,,,,,,,,,,,,,,,,,.
251018_Sunderland_Wolves_ANALYST3ANGLES,0.0,39.54909090947058,"🔸[DSP] Defending Throw In(R, long)✅",0,,,,,,,,,,,,"Right, Def 1/3, Long",,,,,,,,,,,.
251018_Sunderland_Wolves_ANALYST3ANGLES,0.0,20.5,"🔸[OP2] High Press(backpass, long)✅",0,,,,,,,,,,,,,,,,,,,,,,,.
251018_Sunderland_Wolves_ANALYST3ANGLES,0.0,21.370124680126537,"🔹[I1a] GK Restart(HBlock, wide target, 2nd ball, 2 phases)🚧",0,,,,,,,,,,,,,,,,,,,,,,,.
251018_Sunderland_Wolves_ANALYST3ANGLES,0.0,25.79463989294436,"🔸[OP2] High Press(OS, long, 2nd ball)✅",0,,,,,,,,,,,,,,,,,,,,,,,.
251018_Sunderland_Wolves_ANALYST3ANGLES,0.0,14.740093884668568,"🔸[OP2] High Press(OS, long, 2nd ball)✅",0,,,,,,,,,,,,,,,,,,,,,,,.
251018_Sunderland_Wolves_ANALYST3ANGLES,0.0,22.58014354740817,🔹🔸Offensive transition(2 silly turnovers)❌,0,,,,,,,,,,,,,,,,,,,,,,,.
251018_Sunderland_Wolves_ANALYST3ANGLES,0.0,25.60338500601756,🔸[OP4] Low Block(LTRiangle)✅,0,,,,,,,,,,,,,,,,,,,,,,,.
251018_Sunderland_Wolves_ANALYST3ANGLES,0.0,19.4000929717522,🔹🔸Offensive transition(turnover again ...)❌,0,,,,,,,,,,,,,,,,,,,,,,,.
251018_Sunderland_Wolves_ANALYST3ANGLES,0.0,17.58011613978988,"🔸[OP4] Low Block(RTriangle, cross, runners)✅",0,,,,,,,,,,,,,,,,,,,,,,,.
251018_Sunderland_Wolves_ANALYST3ANGLES,0.0,24.649658759636623,🔹[OSP] Attacking Free Kick(2nd phase)✅✅,0,,,,,,,,,,,,,,,,,,,,,,,.
251018_Sunderland_Wolves_ANALYST3ANGLES,0.0,17.246490185968923,"🔹[OSP] Attacking Throw In(L, long)✅",0,,,,,,,,,,,,,,,,,,,,"Left, Att 1/3, Long",,,.
251018_Sunderland_Wolves_ANALYST3ANGLES,0.0,12.87067089313723,🔸[OP3b] Mid Block(IB)✅,0,,,,,,,,,,,,,,,,,,,,,,,.
251018_Sunderland_Wolves_ANALYST3ANGLES,0.0,20.333601642574195,"🔹[I1a] GK Restart(OS, spare-man)✅",0,,,,,,,,,,,,,,,,,,"Short, Spare Man (vMFM)",,,,,.
251018_Sunderland_Wolves_ANALYST3ANGLES,0.0,20.5,"🔸[OP2] High Press(long ball, 2nd ball)✅",0,,,,,,,,,,,,,,,,,,,,,,,.
251018_Sunderland_Wolves_ANALYST3ANGLES,0.0,30.018377759089162,"🔹[I2a] Low Build-up(OS, long, 2nd ball)✅",0,,,,,,,,,,,,,,,,,,,,,,,.
251018_Sunderland_Wolves_ANALYST3ANGLES,0.0,30.068904781523543,"🔸[OP1b] GK Restart(RTriangle, cross 2nd zone)❌❌",0,,,,,,,,,,,,,,,,,,,,,,,.
251018_Sunderland_Wolves_ANALYST3ANGLES,0.0,24.76641136928629,"🔹[I1a] GK Restart(OS, spare-man)🚧",0,,,,,,,,,,,,,,,,,,"Short, Spare Man (vMFM)",,,,,.
251018_Sunderland_Wolves_ANALYST3ANGLES,0.0,21.299977172619037,"🔸[OP2] High Press(long, 2nd ball)✅",0,,,,,,,,,,,,,,,,,,,,,,,.
251018_Sunderland_Wolves_ANALYST3ANGLES,0.0,25.10104032225263,"🔹[I2a] Low Build-up(spare-man, 2nd phase, turnover)🚧",0,,,,,,,,,,,,,,,,,In-Behind,,,,,,.
251018_Sunderland_Wolves_ANALYST3ANGLES,0.0,42.331991081853175,🔸[OP3b] Mid Block(left pressure)✅,0,,,,,,,,,,,,,,,,,,,,,,,.
251018_Sunderland_Wolves_ANALYST3ANGLES,0.0,16.99124433323186,🔹🔸Offensive transition(poor choice)❌,0,,,,,,,,,,,,,Counter Attack,,,,,,,,,,.
251018_Sunderland_Wolves_ANALYST3ANGLES,0.0,23.03039708154938,🔸[OP4] Low Block(LTriangle)🚧🔎,0,,,,,,,,,,,,,,,,,,,,,,,.
251018_Sunderland_Wolves_ANALYST3ANGLES,0.0,17.65092274618246,🔹🔸Offensive transition(silly turnover)❌,0,,,,,,,,,,,,,Fast Attack,,,,,,,,,,.
251018_Sunderland_Wolves_ANALYST3ANGLES,0.0,19.0600294912133,"🔸🔹Defensive Transition(turnover, 1v1)❌❌",0,,,,,,,,,,,,,,,,,,,,,,,.
251018_Sunderland_Wolves_ANALYST3ANGLES,0.0,21.23358626094796,"🔹[I1a] GK Restart(high block, too long)❌",0,,,,,,,,,,,,,,,,,,Compact Shape: LONG,,,,,.
251018_Sunderland_Wolves_ANALYST3ANGLES,27.783222498871044,31.270035098113564,"🔸[OP4] Low Block(R-LTriangles, mistake, cross)❌🔎",0,,,,,,,,,,,,,,,,,,,,,,,.
251018_Sunderland_Wolves_ANALYST3ANGLES,0.0,17.42028276269093,"🔹[I1a] GK Restart(OS, spare-man)❌",0,,,,,,,,,,,,,,,,,,"Short, Spare Man (vMFM)",,,,,.
251018_Sunderland_Wolves_ANALYST3ANGLES,0.0,12.260064623269045,"🔸[OP4] Low Block(RTriangle, cross)✅",0,,,,,,,,,,,,,,,,Diagonal Pass,,,,,,,.
251018_Sunderland_Wolves_ANALYST3ANGLES,0.0,18.90013105033904,"🔸[DSP] Defending Throw In(R, long)✅",0,,,,,,,,,,,,"Right, Def 1/3, Long, Right, Def 1/3, Long",,,,,,,,,,,.
