Timeline,Start time,Duration,Row,Instance number,<flag>.,🔸🔹[OT] Keep the ball,Ungrouped,Notes,Flags
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,22.945452160442073,"🔸[OP4]Low Block(early cross from the L, 2nd phase)🚧⚠️",0,,,,,.
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,22.438749881129297,"🔹[IP1a]GK Restart(spare man 6, sloppy after)❌",0,,,,,.
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,78.82437985629304,"🔸[OP4]Low Block(compact, a bit passive, 2 crosses)✅",0,,,,,.
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,19.41011642719809,"🔸[DSP] Corner(R, back post, blocks)❌❌🏈",0,,,,,.
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,9.080050588151835,"🔹[OSP] Throw-in(R, MZ, turnover)❌",0,,,,,.
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,22.35340373267536,"🔸[OP2]High Press(MFM, high regain)✅⭐️",0,,,,,.
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,31.769721813539036,"🔹[OSP] Throw-in(L, HZ, long, counter-A ... no blocks)❌⚠️",0,,,,,.
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,21.16012252598921,"🔸[OP2]High Press(IB, 1st contact)✅",0,,,,,.
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,18.350108196078963,"🔸[DSP] Throw-in(R, HZ, restarted quickly, surprised)❌⚠️",0,,,,,.
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,16.70595687927471,"🔸[OP3b]Mid Block(IB, no off side!)⚠️",0,,,,,.
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,30.95614272052171,"🔹[IP1a]GK Restart(OS, spare man)✅⭐️",0,,,,,.
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,21.703399584250747,"🔹[IP4]Attacking Phase(switch, RSide, through)✅",0,,,,,.
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,19.733268777808917,"🔹[OSP] Throw-in(R, HZ, long, 2nd phase, shot)✅✅",0,,,,,.
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,33.801185290742524,"🔸[OP1a]GK Restart(OS, short, mid regain)✅",0,,,,,.
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,13.230103957501797,"🔹[OSP] Throw-in(R, MZ, pattern)✅⭐️",0,,,,,.
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,19.040113699063113,"🔸[DSP] Throw-in(L, DZ, 4-4-2)⚠️🔍",0,,,,,.
260104_TottenhamHotspur_Sunderland_ANALYST,0.0,29.93997151510348,"🔸[OP2]High Press(MFM, long, 1st contact, no retention)❌",0,,,,,.
