Timeline,Start time,Duration,Row,Instance number,<flag>.,Adversaire,Contexte,Date,HALF TIME,Journée,Lieu,MINUTE,Pourcentage,Qualite,Score final,TIME PERIOD,Type action,✅✅,Ungrouped,Notes,Flags
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,15.199964939058987,"🔹[IP1a]GK Restart(OS, around, to the 9)❌",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,57.15749502201675,"🔸[OP3b]Mid Block(RSide issue, LSide → MFM)✅⚠️",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,23.239888180272146,"🔸[OP2]High Press(MFM, long)✅",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,25.300118885093298,"🔹[IP2]Low Build-up(into the trap, long under pressure)❌🔍",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,28.780494709608547,"🔹[OSP] Throw-in(L, DZ, flip the pressure)❌",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,13.510092051191805,"🔹[OSP] Throw-in(L, HZ, quick restart)❌",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,17.740099983496293,"🔸[OP4]Low Block(RS, block unit)✅⭐️",0,,,,,,,,,,,,,,,,NM,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,51.228751525864936,"🔹[IP2]Low Build-up(around, into the 9, 2nd ball)✅✅⭐️",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,24.81252555754736,"🔸[OP1a]GK Restart(OS, long, regain)✅⭐️",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,86.78470385509581,🔹[IP3a]Progression(patience & composure)✅⭐️,0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,29.45675367506624,"🔹[IP2]Low Build-up(spare man, around, into the 9)✅⭐️",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,13.5394478997041,"🔹[OSP] HT Throw-in(L, long, block?)🚧",0,,,,,,,,,,,,,,,,**,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,9.92601352689826,"🔹[OSP] HT Corner(L, 1st contact)✅✅",0,,,,,,,,,,,,,,,✅✅,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,15.090101457180936,"🔸[OP1a]GK Restart(OS, around, long)✅",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,12.54008815806651,"🔸[DSP] Free kick(deep L, 2 phases)🚧",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,14.861605475039823,"🔸[DSP] Corner(L, 2nd phase)❌❌🏈",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,26.098542296274218,🔹[OSP] Kick-off🚧,0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,30.352306811018934,"🔸[OP2]High Press(long, 2 phases)✅⚠️",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,13.736197699298145,"🔹[IP3b]Progression(LS dynamic, using the overload into midfield)🚧",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,21.77923018896263,"🔹[IP3b]Progression(RTRiangle, cross)✅✅⚽️",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,37.71398840304346,🔸[DSP] Kick-off❌,0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,45.01029321406372,"🔹[IP2]Low Build-up(OS, long under pressure, 2nd ball)✅",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,10.92005761031055,"🔹[OSP] Throw-in(L, MZ)🚧",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,20.80868568436449,"🔹[OSP] Throw-in(L, MZ)❌",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,15.582785906297886,"🔹[OSP] Free kick(deep central, delivery, block)🚧",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,33.97452114305497,"🔹[OSP] Throw-in(R, HZ, long, 2nd phase)❌",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,27.48315655129136,"🔸[DSP] Free kick(deep central, change the angle)✅",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,27.457231706972834,🔸[OP2]High Press(composure of the 1st contact)✅⭐️,0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,49.38927419528818,"🔹[IP3b]Progression(overload advantage, into the 9)🚧⭐️",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,16.54009082809398,"🔸[OP4]Low Block(RTriangle, box unit)✅⭐️",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,24.860119482879327,"🔹[IP1b]GK Restart(OS, into the 9)❌",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,21.64012284169121,"🔸[OP2]High Press(long, 2nd ball)❌",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,41.58020452951405,"🔸[OP4]Low Block(delays, cross defence)⚠️",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,12.410075299717391,🔸🔹Offensive transition(lack of composure)❌,0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,25.790191437698468,"🔸[OP3b]Mid Block(wide pressure late, cross conceded)❌❌",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,26.660151489548298,"🔹[IP1a]GK Restart(OS, into the 9, 2nd ball)✅",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,14.550088401968878,"🔹[OSP] Free kick(deep R, 2-man)✅",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,16.490090830668123,"🔸[OP2]High Press(long, 2nd ball)✅",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,16.800181287576834,"🔹[OSP] Throw-in(L, MZ, turnover, transition)❌⚠️⚠️",0,,,,,,,,,,,,,,,,,.
