Timeline,Start time,Duration,Row,Instance number,<flag>.,Assist,Corner Taken,Event,GameTime,Half,Pass,Period,Player,Shot Pattern of Play,Team,Zone,🔸[DSP],🔸[OP] Box Defence,🔸[OP] Restart Phase,🔸[OP] Zonal Defence,🔹[IP] Attack the Box,🔹[IP] Progression Phase,🔹[IP] Restart Phase,🔹[OSP],Ungrouped,Notes,Flags
250913_CrystalPalace_Sunderland_4ANGLES,0.0,38.27507076475558,"🔹[I2a] Low Build-Up(long under pressure, vs front 3)❌",0,,,,,00:29:42,,,1,,,,,,,,,,,,,,,.
250913_CrystalPalace_Sunderland_4ANGLES,0.0,20.000108200541945,🔸[OP2] High Press (backpass)✅,0,,,,,00:30:13,,,1,,,,,,,,,,,,,,,.
250913_CrystalPalace_Sunderland_4ANGLES,0.0,26.599907232056466,🔸[OP3b] Mid Block(gold standart)✅🔎,0,,,,,00:30:47,,,1,,,,,,,,,,,,,,,.
250913_CrystalPalace_Sunderland_4ANGLES,0.0,49.53312802764685,"🔹[IP3b] Progression(L&Rtriangles in progress, opportunities)🚧🔎",0,,,,,00:31:16,,,1,,,,,,,,,,,,,,,.
250913_CrystalPalace_Sunderland_4ANGLES,0.0,19.420103332223334,🔸🔹Defensive Transition❌❌,0,,,,,00:31:56,,,1,,,,,,,,,,,,,,,.
250913_CrystalPalace_Sunderland_4ANGLES,0.0,19.779983582766363,"🔹[1Pa] GK Restarts(HB, 2nd ball)✅",0,,,,,00:32:43,,,1,,,,,,,,,,,Compact Shape: LONG,,,,.
250913_CrystalPalace_Sunderland_4ANGLES,0.0,30.400914095840562,🔸[OP1] GK Restart(OS)✅,0,,,,,00:33:10,,,1,,,,,,,Restart Quickly,,,,,,,,.
250913_CrystalPalace_Sunderland_4ANGLES,0.0,12.260119435940851,🔹[IP5] Attack the Box(cross)❌,0,,,,,00:33:34,,,1,,,,,,,,,Crosses,,,,,,.
250913_CrystalPalace_Sunderland_4ANGLES,0.0,18.0,🔸[OP1] GK Restart(HB)✅,0,,,,,00:34:16,,,1,,,,,,,Direct (HB),,,,,,,,.
250913_CrystalPalace_Sunderland_4ANGLES,0.0,15.89008625714041,🔸[OP3b] Mid Block(through)✅,0,,,,,00:34:43,,,1,,,,,,,,,,,,,,,.
250913_CrystalPalace_Sunderland_4ANGLES,0.0,17.5,🔹[OSP] Attacking Free Kick❌,0,,,,,00:35:23,,,1,,,,,,,,,,,,"Left, Def 1/3",,,.
250913_CrystalPalace_Sunderland_4ANGLES,0.0,13.190064927528965,🔸[OP1] GK Restart(HB)✅,0,,,,,00:35:46,,,1,,,,,,,Direct (HB),,,,,,,,.
250913_CrystalPalace_Sunderland_4ANGLES,0.0,31.14596022443311,"🔹[IP3b] Progression(diag, LTriangle, cross)✅✅",0,,,,,00:36:01,,,1,,,,,,,,,,,,,,,.
250913_CrystalPalace_Sunderland_4ANGLES,17.119670407154842,14.026289817278212,🔹[IP4] Attacking Phase(cross)✅,0,,,,,00:36:01,,,1,,,,,,,,,,,,,,,.
250913_CrystalPalace_Sunderland_4ANGLES,0.0,8.660057001133737,🔹[IP5] Attack the Box(cross)✅,0,,,,,00:36:43,,,1,,,,,,,,,Diagonal Balls,,,,,,.
250913_CrystalPalace_Sunderland_4ANGLES,0.0,20.640104560981854,🔹[OSP] Attacking Corner✅,0,,,In-swinger,Pass,"00:37:32, 00:37:10",First Half,"Corner taken, Cross, Chipped, Long ball","1, 1",Granit Xhaka,,Sunderland,Center,,,,,,,,,,,.
250913_CrystalPalace_Sunderland_4ANGLES,0.0,11.010076818310608,"🔹[OSP] Attacking Throw In(L, long)🚧",0,,,,,00:38:08,,,1,,,,,,,,,,,,"Left, Att 1/3, Long",,,.
250913_CrystalPalace_Sunderland_4ANGLES,0.0,31.070868231121494,🔸[OP3a] High Block(gold standart)✅,0,,,,,00:38:23,,,1,,,,,,,,,,,,,,,.
250913_CrystalPalace_Sunderland_4ANGLES,0.0,19.112428201834973,🔹[I2a] Low Build-Up (backpass)❌,0,,,,,00:39:02,,,1,,,,,,,,,,,,,,,.
250913_CrystalPalace_Sunderland_4ANGLES,0.0,34.841565960171465,"🔹[1Pa] GK Restarts(HB, 2nd ball)✅",0,,,,,00:40:04,,,1,,,,,,,,,,,Compact Shape: LONG,,,,.
250913_CrystalPalace_Sunderland_4ANGLES,0.0,22.710139306972906,🔹[IP5] Attack the Box(cross)✅,0,,,,,00:40:18,,,1,,,,,,,,,Crosses,,,,,,.
250913_CrystalPalace_Sunderland_4ANGLES,0.0,24.81018806293423,🔹[IP4] Attacking Phase(Ltriangle)✅,0,,,,,00:40:50,,,1,,,,,,,,,,,,,,,.
250913_CrystalPalace_Sunderland_4ANGLES,0.0,25.680138990175237,🔹[OSP] Attacking Free Kick(delevery)❌,0,,,,Pass,"00:41:41, 00:41:36",First Half,"Free kick taken, Chipped, Cross, Direct","1, 1",Granit Xhaka,,Sunderland,Center,,,,,,,,"Left, Att 1/3",,,.
250913_CrystalPalace_Sunderland_4ANGLES,0.0,8.500057918727634,🔸[OP1] GK Restart(HB)✅,0,,,,,00:42:33,,,1,,,,,,,Direct (HB),,,,,,,,.
