Timeline,Start time,Duration,Row,Instance number,<flag>.,<flag>Keep,Adversaire,Arthur,Assist,Bertrand,Contexte,Corner Taken,Date,Enzo,Event,GameTime,Granit,HALF TIME,Half,Journée,Lieu,MINUTE,Noah,Nordi,Pass,Period,Player,Pourcentage,Qualite,Score final,Shot Pattern of Play,Simon,TIME PERIOD,Team,Trai,Type action,Zone,🔸[DSP],🔸[OP] --> 🔹[IP],🔸[OP] Box Defence,🔸[OP] Restart Phase,🔸[OP] Zonal Defence,🔹[IP] Attack the Box,🔹[IP] Progression Phase,🔹[IP] Restart Phase,🔹[IP]--> 🔸[OP],🔹[OSP],Ungrouped,Notes,Flags
251004_ManchesterUnited_Sunderland_ANALYST,0.0,11.210069192340598,"🔸[OP3b] Mid Block(no GK, 5-4-1, press)✅",0,,,,,,,,,,,Pass,00:39:50,,,Second Half,,,,,,"Free kick taken, Long ball, Chipped, Direct",2,Leny Yoro,,,,,,,Manchester United,,,Right,Long,,,,,,,,,,,,.
251004_ManchesterUnited_Sunderland_ANALYST,0.0,14.77006218466704,🔸🔹Offensive transition(quick loss)❌,0,,,,,,,,,,,,00:40:30,,,,,,,,,,2,,,,,,,,,,,,,Counter Attack,,,,,,,,,,,.
251004_ManchesterUnited_Sunderland_ANALYST,0.0,28.42021918264072,"🔸[OP1b] GK Restart (8”, possession not secured, shot conceded)❌",0,,,,,,,,,,,,"00:40:51, 00:40:50",,,,,,,,,,"2, 2",,,,,,,,,,,,,,,,,,,,,,,,.
251004_ManchesterUnited_Sunderland_ANALYST,0.0,28.75020422921625,"🔹[IP1a] GK Restart(OS, spare-man, 1st phase ok, lack of composure)❌",0,,,,,,,,,,,,00:41:36,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,"Short, Spare Man (vMFM)",,,,,.
251004_ManchesterUnited_Sunderland_ANALYST,0.0,26.950166112660554,"🔸[OP4] Low Block(5-4-1, RSide delays, poor cross management)❌🔎",0,,,,,,,,,,,,00:42:02,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,.
251004_ManchesterUnited_Sunderland_ANALYST,0.0,7.550033523242746,🔸[DSP] Defending Free Kick(2-men)✅,0,,,,,,,,,,,,00:34:28,,,,,,,,,,2,,,,,,,,,,,,Left,,,,,,,,,,,,.
251004_ManchesterUnited_Sunderland_ANALYST,0.0,24.985797470173566,"🔹[IP1b] GK Restart(8"", quick IB, foul?!!)✅",0,,,,,,,,,,,,00:34:28,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,.
251004_ManchesterUnited_Sunderland_ANALYST,0.0,27.140159424990998,"🔸[OP1a] GK Restart(1st contact, unable to retain, cross conceded)❌",0,,,,,,,,,,,,00:34:10,,,,,,,,,,2,,,,,,,,,,,,,,,Direct (HB),,,,,,,,,.
251004_ManchesterUnited_Sunderland_ANALYST,0.0,19.5,"🔹[IP1b] GK Restart(8”, quick, long ball inaccurate)❌",0,,,,,,,,,,,,00:34:34,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,.
251004_ManchesterUnited_Sunderland_ANALYST,0.0,21.35010362244884,"🔸[OP3b] Mid Block(no GK, 5-4-1, high press)✅",0,,,,,,,,,,,,00:34:54,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,.
251004_ManchesterUnited_Sunderland_ANALYST,0.0,10.110056994047227,"🔹[OSP] Attacking Throw In(L, MZ)❌",0,,,,,,,,,,,,00:35:25,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,"Left, Def 1/3",,,.
251004_ManchesterUnited_Sunderland_ANALYST,0.0,53.37376824040621,🔸[OP2] High Press (backpass),0,,,,,,,,,,,,00:35:35,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,.
251004_ManchesterUnited_Sunderland_ANALYST,0.0,26.830151196895713,"🔹[IP1a] GK Restart(OS, long Front3, 2nd ball)✅",0,,,,,,,,,,,,00:36:37,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,"OS: LONG, Front 3",,,,,.
