Timeline,Start time,Duration,Row,Instance number,<flag>.,Adversaire,Contexte,Date,HALF TIME,Journée,Lieu,MINUTE,Pourcentage,Qualite,TIME PERIOD,Type action,✅,❌,❌❌,🔸🔹[OT] Keep the ball,🔹[IP] Restart Phase,🔹🔸[DT] Back in,Ungrouped,Notes,Flags
260211_Sunderland_Liverpool_ANALYST,0.0,21.393290736996278,"🔸[DSP] Throw-in(L, DZ, soft then regain)🚧",0,,,,,,,,,,,,,,,,,,,,,.
260211_Sunderland_Liverpool_ANALYST,0.0,36.980242647494606,"🔹[IP2]Low Build-up(OS, short then long, RSide cross)✅⭐️",0,,,,,,,,,,,,,,,,,,,,,.
260211_Sunderland_Liverpool_ANALYST,0.0,12.240080170083502,"🔹[OSP] Throw-in(R, HZ, long, block??)❌",0,,,,,,,,,,,,,,,,,,,,,.
260211_Sunderland_Liverpool_ANALYST,0.0,26.400199675600334,"🔸[OP3b]Mid Block(strong triggers, IB, 2nd ball lost)🚧",0,,,,,,,,,,,,,,,,,,,,,.
260211_Sunderland_Liverpool_ANALYST,0.0,31.477370932691883,"🔸[OP4]Low Block(4-4-2 poor pressing triggers, RTriangle out of position)❌🔍",0,,,,,,,,,,,,,,,,,,,,,.
260211_Sunderland_Liverpool_ANALYST,0.0,32.01759768027296,"🔸[DSP] Corner(R, front post)✅",0,,,,,,,,,,,,,,,,,,,,,.
260211_Sunderland_Liverpool_ANALYST,0.0,28.481692177505465,🔸🔹Offensive transition(quick turnover)❌,0,,,,,,,,,,,,,,,,,,,,,.
260211_Sunderland_Liverpool_ANALYST,0.0,19.818349441102328,"🔹[IP1b]GK Restart(OS, quick, through, around)✅",0,,,,,,,,,,,,,,,,,,,,,.
260211_Sunderland_Liverpool_ANALYST,0.0,30.580224288793943,"🔹[IP2]Low Build-up(spare man, around, foul won)✅",0,,,,,,,,,,,,,,,,,,,,,.
260211_Sunderland_Liverpool_ANALYST,0.0,32.560140800737145,Game management,0,,,,,,,,,,,,,,,,,,,❌,,.
260211_Sunderland_Liverpool_ANALYST,0.0,42.700907615004326,"🔸[OP2]High Press(long, 2nd ball)✅",0,,,,,,,,,,,,,,,,,,,,,.
260211_Sunderland_Liverpool_ANALYST,0.0,27.938041098175745,"🔸[OP3b]Mid Block(through x2, regain)✅",0,,,,,,,,,,,,,,,,,,,,,.
260211_Sunderland_Liverpool_ANALYST,0.0,22.705094663412865,🔸🔹Offensive transition(quick turnover)❌,0,,,,,,,,,,,,,,,,,,,,,.
260211_Sunderland_Liverpool_ANALYST,0.0,7.981353898911038,🔸[OP4]Low Block(cross backpost)✅,0,,,,,,,,,,,,,,,,,,,,,.
260211_Sunderland_Liverpool_ANALYST,0.0,17.070106384957853,"🔹[IP1a]GK Restart(OS, long, wrong target)❌",0,,,,,,,,,,,,,,,,,,,,,.
260211_Sunderland_Liverpool_ANALYST,0.0,44.74514049969321,"🔸[OP2]High Press(OS, long, too far in the duel)❌🔍",0,,,,,,,,,,,,,,,,,,,,,.
260211_Sunderland_Liverpool_ANALYST,0.0,23.23010241496604,Game management,0,,,,,,,,,,,,,,,,,,,❌,,.
260211_Sunderland_Liverpool_ANALYST,0.0,21.446506039008,"🔸[OP4]Low Block(lack of intensity, good structure)❌",0,,,,,,,,,,,,,,,,,,,,,.
260211_Sunderland_Liverpool_ANALYST,0.0,44.54117548813451,🔸[OP4]Low Block(post-clearance | unbalanced structure → through ball x2 → shot conceded)❌❌,0,,,,,,,,,,,,,,,,,,,,,.
260211_Sunderland_Liverpool_ANALYST,0.0,12.66983795624401,"🔸[DSP] Corner(R, front post, 1st contact lost)🚧",0,,,,,,,,,,,,,,,,,,,,,.
260211_Sunderland_Liverpool_ANALYST,0.0,19.750163083017014,"🔹[IP1a]GK Restart(OS, around, IB)✅⭐️",0,,,,,,,,,,,,,,,,,,,,,.
260211_Sunderland_Liverpool_ANALYST,0.0,14.030229349376896,"🔹[OSP] Throw-in(L, HZ, 2-man, poor delivery)🚧",0,,,,,,,,,,,,,,,,,,,,,.
260211_Sunderland_Liverpool_ANALYST,0.0,25.730164904055073,🔹🔸Defensive transition(shot-blocking mentality)✅,0,,,,,,,,,,,,,,,,,,,,,.
260211_Sunderland_Liverpool_ANALYST,0.0,41.47612542010984,"🔸[OP4]Low Block(RTRiangle, cross, 2nd phase passive, shot)❌❌",0,,,,,,,,,,,,,,,,,,,,,.
260211_Sunderland_Liverpool_ANALYST,0.0,53.205178314506156,"🔸[OP4]Low Block(a bit passive but balanced, 4 crosses)🚧",0,,,,,,,,,,,,,,,,,,,,,.
260211_Sunderland_Liverpool_ANALYST,0.0,18.176116316096795,🔸🔹Offensive transition(win a foul)✅⭐️,0,,,,,,,,,,,,,,,,,,,🔸🔹[OT] Keep the ball,,.
260211_Sunderland_Liverpool_ANALYST,0.0,23.68393697939655,"🔹[IP1a]GK Restart(HBlock, wrong target, 2nd ball)❌",0,,,,,,,,,,,,,,,,,,,,,.
260211_Sunderland_Liverpool_ANALYST,0.0,19.280658327968922,"🔸[DSP] Free kick(2-man, delays, cutback, shot deflected)❌❌",0,,,,,,,,,,,,,,,,,,,❌❌,,.
260211_Sunderland_Liverpool_ANALYST,0.0,17.302116006702363,"🔸[DSP] Corner(R, front post, 1st contact)✅",0,,,,,,,,,,,,,,,,,,,,,.
260211_Sunderland_Liverpool_ANALYST,0.0,22.660604105035418,"🔸[OP4]Low Block(RTriangle, regain)✅",0,,,,,,,,,,,,,,,,,,,,,.
260211_Sunderland_Liverpool_ANALYST,0.0,11.589325850450678,🔸🔹Offensive transition(win a foul)✅,0,,,,,,,,,,,,,,,,,,,,,.
260211_Sunderland_Liverpool_ANALYST,0.0,27.39046866404624,"🔹[IP2]Low Build-up(OS, long, wrong target, 2nd ball)❌⚠️",0,,,,,,,,,,,,,,,,,,,,,.
260211_Sunderland_Liverpool_ANALYST,0.0,22.95653064457474,"🔹🔸Defensive transition(lgo long, 2nd ball, counter-attack)❌❌",0,,,,,,,,,,,,,,,,,,,,,.
260211_Sunderland_Liverpool_ANALYST,0.0,38.01592619116127,"🔹[IP1b]GK Restart(OS, long, quick turnover)❌⚠️",0,,,,,,,,,,,,,,,,,,,🔹🔸[DT] Back in,,.
260211_Sunderland_Liverpool_ANALYST,0.0,24.54522733943304,"🔹[IP1b]GK Restart(OS, short, quick through)✅⭐️",0,,,,,,,,,,,,,,,,,,,,,.
260211_Sunderland_Liverpool_ANALYST,0.0,38.29075282923941,"🔸[OP1b]GK Restart(strong press, lack of intensity in duels, shot conceded)❌⚠️",0,,,,,,,,,,,,,,,,,,,,,.
