Timeline,Start time,Duration,Row,Instance number,<flag>.,GameTime,Period,✅✅,Ungrouped,Notes,Flags
260124_WestHamUnited_Sunderland_ANALYST3ANGLES,0.0,30.41015604948643,"🔹[IP3a]Progression(B3 circulation, RB outside → 10 IB, throw-in)🚧",0,,00:18:00,1,,,,.
260124_WestHamUnited_Sunderland_ANALYST3ANGLES,0.0,13.020074367497955,"🔹[OSP] Throw-in(R, high, long, blockers??)❌",0,,00:18:59,1,,,,.
260124_WestHamUnited_Sunderland_ANALYST3ANGLES,0.0,21.600126488960996,"🔸[OP1b]GK Restart(OS, long, 1st contact, composure with the GK)✅",0,,00:19:05,1,,,,.
260124_WestHamUnited_Sunderland_ANALYST3ANGLES,0.0,24.620170380221907,"🔹[IP3b]Progression(CB steps in, through the 9, execution off, foul won)🚧",0,,00:19:28,1,,,,.
260124_WestHamUnited_Sunderland_ANALYST3ANGLES,0.0,15.970095696190583,"🔹[OSP] Free kick(central, change the angle, blocker??)✅✅",0,,00:20:22,1,,✅✅,,.
260124_WestHamUnited_Sunderland_ANALYST3ANGLES,0.0,14.680088698363534,"🔸[OP1a]GK Restart(OS, long, regain)✅",0,,00:21:05,1,,,,.
260124_WestHamUnited_Sunderland_ANALYST3ANGLES,0.0,46.69797850808391,"🔹[IP3b]Progression(lack of composure, 3 turnovers in 10 sec)❌⚠️",0,,00:21:07,1,,,,.
260124_WestHamUnited_Sunderland_ANALYST3ANGLES,0.0,15.900096004106445,"🔸[OP2]High Press(good press, regain)✅",0,,00:22:20,1,,,,.
260124_WestHamUnited_Sunderland_ANALYST3ANGLES,0.0,19.880129836064725,"🔹[IP2]Low Build-up(OS, long under pressure into the 9)✅⭐️",0,,00:22:29,1,,,,.
260124_WestHamUnited_Sunderland_ANALYST3ANGLES,0.0,14.330085640931202,"🔹[OSP] Free kick(L, wide, taker? blocks?)🚧",0,,00:23:23,1,,,,.
260124_WestHamUnited_Sunderland_ANALYST3ANGLES,0.0,27.506566599127837,"🔹[OSP] Throw-in(R, high, quick, cross)✅",0,,00:23:47,1,,,,.
260124_WestHamUnited_Sunderland_ANALYST3ANGLES,0.0,34.66471923644758,"🔸[OP3b]Mid Block(L-side, effective press → regain)✅⭐️",0,,00:24:31,1,,,,.
260124_WestHamUnited_Sunderland_ANALYST3ANGLES,0.0,23.59541782519318,"🔸🔹Offensive transition(C.-attack, cheap turnover)❌",0,,00:24:41,1,,,,.
260124_WestHamUnited_Sunderland_ANALYST3ANGLES,0.0,43.75019661117312,"🔸[OP4]Low Block(Straight after turnover, L→R triangle shift, poor foul → penalty)❌⚠️",0,,00:25:04,1,,,,.
260124_WestHamUnited_Sunderland_ANALYST3ANGLES,0.0,9.917116359846204,🔸[DSP] Penalty❌❌🏈,0,,00:26:06,1,,,,.
260124_WestHamUnited_Sunderland_ANALYST3ANGLES,0.0,20.426971080145222,"🔹[OSP] Kick-off(2nd ball, foul)❌",0,,00:26:56,1,,,,.
260124_WestHamUnited_Sunderland_ANALYST3ANGLES,0.0,11.360060042517034,"🔸[DSP] Free kick(R, deep, blocks? positions?)❌",0,,00:28:07,1,,,,.
260124_WestHamUnited_Sunderland_ANALYST3ANGLES,0.0,33.49418380478164,"🔹[IP1b]GK Restart(OS, around, cheap turnover, C.-attack)❌",0,,00:28:07,1,,,,.
260124_WestHamUnited_Sunderland_ANALYST3ANGLES,0.0,17.640106063528947,🔹🔸Defensive transition(C.-attack)✅,0,,00:28:19,1,,,,.
260124_WestHamUnited_Sunderland_ANALYST3ANGLES,0.0,40.14204667840386,"🔸[DSP] Corner(R, blocks & aggressiveness conceded)✅🔍",0,,00:29:08,1,,,,.
260124_WestHamUnited_Sunderland_ANALYST3ANGLES,0.0,5.180030772392229,"🔹[OSP] Throw-in(L, deep, not clean)❌",0,,00:30:03,1,,,,.
260124_WestHamUnited_Sunderland_ANALYST3ANGLES,0.0,11.980074974685976,"🔹[OSP] Throw-in(L, deep, flip the pressure setup?)❌",0,,00:30:16,1,,,,.
260124_WestHamUnited_Sunderland_ANALYST3ANGLES,0.0,12.653805164978394,"🔸[DSP] Throw-in(L, mid, 442, compactness?)✅",0,,00:30:36,1,,,,.
260124_WestHamUnited_Sunderland_ANALYST3ANGLES,0.0,46.650266691416846,"🔹[IP4]Attacking Phase(LCB steps in, 8 IB, switch, RB → 10, turnover)✅",0,,00:31:15,1,,,,.
260124_WestHamUnited_Sunderland_ANALYST3ANGLES,0.0,16.420098758517724,"🔹🔸Defensive transition(C.-press, long, quick regain)✅",0,,00:31:42,1,,,,.
260124_WestHamUnited_Sunderland_ANALYST3ANGLES,0.0,14.750091436340199,"🔹[IP3b]Progression(into the 9, quick turnover)❌",0,,00:31:42,1,,,,.
260124_WestHamUnited_Sunderland_ANALYST3ANGLES,0.0,26.920173388668445,"🔸[OP4]Low Block(compact & proactive, LB isolated, duel lost)❌⚠️",0,,00:31:58,1,,,,.
260124_WestHamUnited_Sunderland_ANALYST3ANGLES,0.0,16.30011278660595,🔸[DSP] Free kick(L)✅,0,,00:33:19,1,,,,.
260124_WestHamUnited_Sunderland_ANALYST3ANGLES,0.0,16.51283527072519,"🔸[DSP] Throw-in(L, high, quick)✅",0,,00:33:51,1,,,,.
