Timeline,Start time,Duration,Row,Instance number,<flag>.,⚽️,✅✅,❌❌,Ungrouped,Notes,Flags
260303_LeedsUnited_Sunderland_ANALYST,0.0,15.663168838905221,🔸[OP3b]Mid Block(IB)✅,0,,,,,,,.
260303_LeedsUnited_Sunderland_ANALYST,0.0,30.30021180950166,"🔹[IP1b]GK Restart(OS, short, quick, build-up attempt under pressure)🚧",0,,,,,,,.
260303_LeedsUnited_Sunderland_ANALYST,0.0,9.960057002550911,🔹[IP3b]Progression(IB)❌,0,,,,,,,.
260303_LeedsUnited_Sunderland_ANALYST,0.0,23.186604302172555,"🔸[OP1b]GK Restart(OS, long, 1st contact, 2nd ball)✅",0,,,,,,,.
260303_LeedsUnited_Sunderland_ANALYST,0.0,26.372512984980858,"🔸[OP2]High Press(OS, long, 1st contact, turnover)❌",0,,,,,,,.
260303_LeedsUnited_Sunderland_ANALYST,0.0,32.96011186401711,"🔸[OP4]Low Block(deep press, to high MFM press)✅⭐️",0,,,,,,,.
260303_LeedsUnited_Sunderland_ANALYST,0.0,42.277019335996556,"🔸[OP2]High Press(OS, long, regain)✅",0,,,,,,,.
260303_LeedsUnited_Sunderland_ANALYST,0.0,28.2104656864517,"🔹[IP2]Low Build-up(OS, forced long under pressure)❌",0,,,,,,,.
260303_LeedsUnited_Sunderland_ANALYST,0.0,24.763894292862005,"🔸[OP4]Low Block(good triggers, forced error)✅⭐️",0,,,,,,,.
260303_LeedsUnited_Sunderland_ANALYST,0.0,11.0,"🔹[OSP] Throw-in(L, MZ, good pattern, back-pass, feed the press)✅",0,,,,,,,.
260303_LeedsUnited_Sunderland_ANALYST,0.0,18.790866356378956,"🔹[IP2]Low Build-up(OS, short, around, under pressure)🚧",0,,,,,,,.
260303_LeedsUnited_Sunderland_ANALYST,0.0,26.879145242029608,"🔹[OSP] Throw-in(R, DZ, flip the pressure)✅",0,,,,,,,.
260303_LeedsUnited_Sunderland_ANALYST,0.0,13.12324592030609,"🔸[OP3b]Mid Block(good triggers, IB well controlled)✅",0,,,,,,,.
260303_LeedsUnited_Sunderland_ANALYST,0.0,31.211946729649753,"🔹[IP2]Low Build-up(OS, short, into the box)✅⭐️",0,,,,,,,.
260303_LeedsUnited_Sunderland_ANALYST,0.0,30.33375329271439,🔹[IP4]Attacking Phase(2 crosses)🚧,0,,,,,,,.
260303_LeedsUnited_Sunderland_ANALYST,0.0,24.37013686136197,"🔸[OP1b]GK Restart(long, foul won)✅",0,,,,,,,.
260303_LeedsUnited_Sunderland_ANALYST,0.0,8.650042681876812,🔹[IP1a]GK Restart(HBlock)✅🔍,0,,,,,,,.
260303_LeedsUnited_Sunderland_ANALYST,0.0,9.000060964478962,"🔹[OSP] Throw-in(L, MZ, quick)✅",0,,,,,,,.
260303_LeedsUnited_Sunderland_ANALYST,0.0,16.530706114438544,"🔹[IP3b]Progression(IB, choice?)🚧🔍",0,,,,,,,.
260303_LeedsUnited_Sunderland_ANALYST,0.0,15.520103344693553,"🔹[IP2]Low Build-up(sloppy under pressure, forced long)❌",0,,,,,,,.
260303_LeedsUnited_Sunderland_ANALYST,0.0,24.19077757896457,"🔸[OP3b]Mid Block(good press, forced long)✅",0,,,,,,,.
260303_LeedsUnited_Sunderland_ANALYST,0.0,24.5,"🔸[OP2]High Press(OS, long)✅",0,,,,,,,.
260303_LeedsUnited_Sunderland_ANALYST,0.0,24.23971261591055,"🔹[IP2]Low Build-up(OS, short, deep cheap turnover)❌",0,,,,,,,.
260303_LeedsUnited_Sunderland_ANALYST,0.0,10.0,🔸[DSP] Free kick (direct)✅,0,,,,,❌❌,,.
260303_LeedsUnited_Sunderland_ANALYST,0.0,11.010977952642406,"🔸[DSP] Corner(R, front post)✅",0,,,,,,,.
260303_LeedsUnited_Sunderland_ANALYST,0.0,29.27645023732748,"🔸[DSP] Corner(R, MZ, 2nd phase)✅",0,,,,,,,.
260303_LeedsUnited_Sunderland_ANALYST,0.0,10.0,"🔹[OSP] Throw-in(L, DZ, flip the pressure, foul)❌",0,,,,,,,.
260303_LeedsUnited_Sunderland_ANALYST,0.0,22.661137119382147,"🔸[DSP] Free kick wide(L, 2 phases)✅",0,,,,,,,.
260303_LeedsUnited_Sunderland_ANALYST,0.0,10.0,"🔹[OSP] Throw-in(R, DZ, flip the pressure)🚧",0,,,,,,,.
260303_LeedsUnited_Sunderland_ANALYST,0.0,20.743901470349556,"🔹[OSP] Throw-in(R, MZ, switch)✅⭐️",0,,,,,,,.
260303_LeedsUnited_Sunderland_ANALYST,0.0,27.191619649655877,"🔸[OP3b]Mid Block(good triggers, forced long)✅⭐️",0,,,,,,,.
260303_LeedsUnited_Sunderland_ANALYST,0.0,36.830306314645895,"🔹[OSP] Throw-in(R, MZ, pattern OK but back pass triggers the press)🚧⚠️",0,,,,,,,.
260303_LeedsUnited_Sunderland_ANALYST,0.0,30.29225794001013,"🔹[IP2]Low Build-up(OS, short, cheap turnover)❌",0,,,,,,,.
260303_LeedsUnited_Sunderland_ANALYST,0.0,25.263406812602625,"🔹🔸Defensive transition(deep turnover, shot blocked)❌❌",0,,,,,,,.
260303_LeedsUnited_Sunderland_ANALYST,0.0,8.840049674328384,"🔹[OSP] Throw-in(R, DZ, flip the pressure)✅",0,,,,,,,.
260303_LeedsUnited_Sunderland_ANALYST,0.0,20.852448170042408,"🔸[OP4]Low Block(agressive pressure, ""make your zone hostile"")✅⭐️",0,,,,,,,.
260303_LeedsUnited_Sunderland_ANALYST,0.0,14.53295339786564,"🔹[OSP] Free kick(deep, 2nd ball)✅⭐️",0,,,,,,,.
260303_LeedsUnited_Sunderland_ANALYST,0.0,22.2924656889345,"🔹[OSP] Corner(R, back post, 2nd phase)✅",0,,,,,✅✅,,.
260303_LeedsUnited_Sunderland_ANALYST,0.0,12.948670169083925,"🔹[OSP] Throw-in(L, HZ, long)❌",0,,,,,,,.
260303_LeedsUnited_Sunderland_ANALYST,0.0,22.855383807060207,"🔸[OP1a]GK Restart(HBlock, 1st contact, 2nd phase)✅",0,,,,,,,.
260303_LeedsUnited_Sunderland_ANALYST,0.0,27.762189702953947,"🔹[IP1a]GK Restart(HBlock, 1st contact, 2nd ball)🚧",0,,,,,,,.
260303_LeedsUnited_Sunderland_ANALYST,0.0,17.280100886701348,"🔹[IP1b]GK Restart(OOS, short, passive back pass, forced long)❌",0,,,,,,,.
260303_LeedsUnited_Sunderland_ANALYST,0.0,30.990267625837078,"🔸[OP3b]Mid Block(compact & agressive, can't secure the ball)✅",0,,,,,,,.
260303_LeedsUnited_Sunderland_ANALYST,0.0,29.680171001435156,"🔸[OP3b]Mid Block(LSide, compact & agressive)✅",0,,,,,,,.
260303_LeedsUnited_Sunderland_ANALYST,0.0,26.699684332666948,"🔹[IP2]Low Build-up(OS, short, through, around)✅",0,,,,,,,.
260303_LeedsUnited_Sunderland_ANALYST,0.0,13.560093583271737,"🔹[IP2]Low Build-up(OS, short, around, quick turnover)❌",0,,,,,,,.
260303_LeedsUnited_Sunderland_ANALYST,0.0,27.29014874160157,🔸[OP4]Low Block(LSide)✅,0,,,,,,,.
260303_LeedsUnited_Sunderland_ANALYST,0.0,33.59992512466579,"🔸🔹Offensive transition(multiple turnovers, foul)❌⚠️",0,,,,,,,.
260303_LeedsUnited_Sunderland_ANALYST,0.0,13.330068882225532,"🔸[DSP] Free kick(direct, strong wall)✅",0,,,,,,,.
260303_LeedsUnited_Sunderland_ANALYST,0.0,13.75008382407077,"🔸[DSP] Throw-in(R, HZ, long, 2nd phase)✅",0,,,,,,,.
260303_LeedsUnited_Sunderland_ANALYST,0.0,20.19515238256099,🔹[OSP] Kick-off✅,0,,,,,,,.
260303_LeedsUnited_Sunderland_ANALYST,0.0,11.165341961126614,"🔹[OSP] Free kick(deep, blocks, target?)❌",0,,,,,,,.
260303_LeedsUnited_Sunderland_ANALYST,0.0,20.78013291158277,"🔸[OP1b]GK Restart(OS, long)✅",0,,,,,,,.
260303_LeedsUnited_Sunderland_ANALYST,0.0,13.060035671798687,"🔸[OP2]High Press(OS, short, around)✅",0,,,,,,,.
260303_LeedsUnited_Sunderland_ANALYST,0.0,22.619463382406593,"🔸[OP2]High Press(OS, short, around, through)✅",0,,,,,,,.
260303_LeedsUnited_Sunderland_ANALYST,0.0,12.0,"🔹[OSP] Throw-in(L, MZ, back pass)✅⚠️",0,,,,,,,.
260303_LeedsUnited_Sunderland_ANALYST,0.0,28.596385213165377,"🔹[IP2]Low Build-up(OS, long, IB)🚧",0,,,,,,,.
260303_LeedsUnited_Sunderland_ANALYST,0.0,19.0,"🔸[OP2]High Press(OS, long, foul)❌",0,,,,,,,.
260303_LeedsUnited_Sunderland_ANALYST,0.0,18.064935521773805,"🔸[DSP] Free kick(R, corner like)✅",0,,,,,,,.
260303_LeedsUnited_Sunderland_ANALYST,0.0,26.640403333956783,"🔹[IP1b]GK Restart(OS, forced long)❌",0,,,,,,,.
260303_LeedsUnited_Sunderland_ANALYST,0.0,23.38016032210271,"🔸[OP2]High Press(mid-block→MFM, long)✅⭐️",0,,,,,,,.
260303_LeedsUnited_Sunderland_ANALYST,0.0,30.580174056948636,"🔸[OP2]High Press(OS, short then long)✅",0,,,,,,,.
260303_LeedsUnited_Sunderland_ANALYST,0.0,12.717705639549422,🔸[OP1a]GK Restart(HBlock)✅,0,,,,,,,.
260303_LeedsUnited_Sunderland_ANALYST,0.0,23.070152122105355,"🔸[OP3b]Mid Block(good press, long)✅",0,,,,,,,.
260303_LeedsUnited_Sunderland_ANALYST,0.0,20.77845409798192,"🔸[OP2]High Press(OS, long, 1st contact lost, 2nd phase)✅",0,,,,,,,.
260303_LeedsUnited_Sunderland_ANALYST,0.0,20.49767797147615,"🔹[IP1a]GK Restart(HBlock, 2nd ball)✅",0,,,,,,,.
260303_LeedsUnited_Sunderland_ANALYST,0.0,24.530157288133523,"🔹[OSP] Free kick(deep, blocks, target?)❌",0,,,,,,,.
260303_LeedsUnited_Sunderland_ANALYST,0.0,16.17997745181401,"🔸[DSP] Throw-in(R, MZ, quick)✅",0,,,,,,,.
260303_LeedsUnited_Sunderland_ANALYST,0.0,11.710058509871487,"🔹[IP1a]GK Restart(HBlock, too long)❌",0,,,,,,,.
