Timeline,Start time,Duration,Row,Instance number,<flag>.,Assist,Corner Taken,Event,Half,Pass,Player,Shot,Shot Body Part,Shot Location Descriptors,Shot Pattern of Play,Team,Zone,✅,❌❌,🔎,🔸[OP] Restart Phase,🔸[OP] Zonal Defence,🔸🔹[OT] Counter-attack,🔹[IP] Restart Phase,🔹🔸[DT] Back in,🔹🔸[DT] Counter-attack,🚧,Ungrouped,Notes,Flags
251129_Sunderland_AFCBournemouth_ANALYST2ANGLES,0.0,17.410093582870104,"🔸[OP4]Low Block(RTRiangle, cross, box unit)🚧",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
251129_Sunderland_AFCBournemouth_ANALYST2ANGLES,0.0,17.226382532799107,"🔸[DSP] Corner(R, 2 phases)✅",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
251129_Sunderland_AFCBournemouth_ANALYST2ANGLES,0.0,27.16514805864699,"🔸[DSP] Corner(L, far post)✅",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
251129_Sunderland_AFCBournemouth_ANALYST2ANGLES,0.0,16.333350148942372,🔸🔹Offensive transition(composure after the regain)✅,0,,,,,,,,,,,,,,,,,,,,,,,,,,.
251129_Sunderland_AFCBournemouth_ANALYST2ANGLES,0.0,39.84299164310323,"🔹[IP2]Low Build-up(1st phase ☑️, cheap turnover in a low zone, counter-attack)❌⚠️",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
251129_Sunderland_AFCBournemouth_ANALYST2ANGLES,0.0,19.73276806726426,"🔹[IP1a]GK Restart(HBlock, 2nd ball)✅",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
251129_Sunderland_AFCBournemouth_ANALYST2ANGLES,0.0,29.504053581988046,"🔸[OP2]High Press(MFM, long, 1st contact, off side)✅",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
251129_Sunderland_AFCBournemouth_ANALYST2ANGLES,0.0,53.50129614239813,"🔸[OP4]Low Block(long sequence, composed defensively)✅",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
251129_Sunderland_AFCBournemouth_ANALYST2ANGLES,0.0,24.980106989981323,"🔹[IP1a]GK Restart(OS, spare man, emergency clearance)❌",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
251129_Sunderland_AFCBournemouth_ANALYST2ANGLES,0.0,23.5,"🔹[IP3a]Progression(CB progression, feed the winger)✅",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
251129_Sunderland_AFCBournemouth_ANALYST2ANGLES,0.0,20.781523279677458,"🔸[OP1b]GK Restart(around, long, 2nd ball)✅",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
251129_Sunderland_AFCBournemouth_ANALYST2ANGLES,0.0,32.84513770612557,"🔹[OSP] Throw-in(R, long fake, cross too short)🚧",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
251129_Sunderland_AFCBournemouth_ANALYST2ANGLES,0.0,23.722367640645643,"🔸[OP1a]GK Restart(HBlock, 1st contact, 2nd ball)✅",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
251129_Sunderland_AFCBournemouth_ANALYST2ANGLES,0.0,20.529991252834407,🔹[IP2]Low Build-up(long under pressure)🚧,0,,,,,,,,,,,,,,,,,,,,,,,,,,.
251129_Sunderland_AFCBournemouth_ANALYST2ANGLES,0.0,18.35995163993448,"🔸[OP2]High Press(MFM, silly foul)🚧",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
251129_Sunderland_AFCBournemouth_ANALYST2ANGLES,0.0,48.59007115648092,"🔸[OP3b]Mid Block(proactivity, long, 2nd ball, RTriangle)✅⭐️",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
251129_Sunderland_AFCBournemouth_ANALYST2ANGLES,0.0,25.25183925710553,"🔹[IP1a]GK Restart(OS, spare man, around, IB)✅✅",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
251129_Sunderland_AFCBournemouth_ANALYST2ANGLES,0.0,26.100776303364,"🔹[OSP] Corner(R, 2 phases)✅✅",0,,,In-swinger,Pass,Second Half,"Cross, Corner taken, Chipped",Granit Xhaka,,,,,Sunderland,Center,,,,,,,,,,,,,.
251129_Sunderland_AFCBournemouth_ANALYST2ANGLES,0.0,20.999639893051608,"🔹[OSP] Throw-in(R, DZ, flip the pressure)✅",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
251129_Sunderland_AFCBournemouth_ANALYST2ANGLES,0.0,23.708752927283967,🔹[OSP] Free kick(deep)✅,0,,,,,,,,,,,,,,,,,,,,,,,,,,.
251129_Sunderland_AFCBournemouth_ANALYST2ANGLES,0.0,17.920086561998687,"🔹[OSP] Corner(L, front post)✅✅⚽️",0,,Goal,In-swinger,Pass,Second Half,"Cross, Corner taken, Long ball, Chipped",Enzo Le Fée,,,,"From corner, Intentional assist",Sunderland,Center,,,,,,,,,,,,,.
251129_Sunderland_AFCBournemouth_ANALYST2ANGLES,0.0,27.99958903769857,🔸[DSP] Kick-off✅,0,,,,,,,,,,,,,,,,,,,,,,,,✅,,.
251129_Sunderland_AFCBournemouth_ANALYST2ANGLES,0.0,22.836305437204828,"🔸[OP2]High Press(long, 2nd ball, LTriangle)🚧",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
251129_Sunderland_AFCBournemouth_ANALYST2ANGLES,0.0,30.130169464286155,"🔹[IP4]Attacking Phase(RTriangle, 2 crosses)🚧",0,,,,Pass,Second Half,Cross,Trai Hume,,,,,Sunderland,Center,,,,,,,,,,,,,.
