Timeline,Start time,Duration,Row,Instance number,<flag>.,✅,✅✅,❌❌,⭐️,🔸🔹[OT] Clear the ball,🔸🔹[OT] Counter-attack,🔸🔹[OT] Keep the ball,🔹🔸[DT] Back in,🔹🔸[DT] Quick regain,Ungrouped,Notes,Flags
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,15.324843641051984,"🔸[OP3b]Mid Block(through our forwards, on the edge)🚧",0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,29.633214818820306,🔸[OP3b-4]Mid-Low Block(4-4-2→5-4-1)✅⭐️,0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,29.64013046626974,"🔸[OP1a]GK Restart(spare man, 4v2, IB to the 9)🚧",0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,37.941285597597016,"🔹[IP3a]Progression(4v2, pattern on the right outside?)❌🔍",0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,16.030090220905322,"🔸[OP2]High Press(MFM, 1st contact, possession not secured)✅",0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,30.820165730403914,"🔸[OP1b]GK Restart(MFM, 1st contact, possession not secured)✅",0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,70.40642596256703,"🔸[OP4]Low Block(4-4-2, through, around, IB, solid)✅",0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,34.22898187275723,"🔹[IP1b]GK Restart(8”, 4v2, winger’s press, cheap turnover)❌",0,,,,,,,,,,,🔹🔸[DT] Back in,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,16.111546390549165,"🔹🔸Defensive transition(low turnover, counter-attack)❌❌",0,,,,,,,,,,,🔹🔸[DT] Back in,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,17.97536616318621,"🔹[IP1a]GK Restart(4v2, LSide pattern, IB)❌🔍",0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,11.417609160419943,🔸[OP3b]Mid Block(through)⚠️,0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,14.935102993710416,"🔸[OP4]Low Block(IB, possession not secured)✅",0,,,,,,,,,,,🔸🔹[OT] Clear the ball,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,34.90015695460011,"🔸[OP4]Low Block(cross, 2nd phase)✅",0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,12.020028749999938,"🔹🔸Defensive transition(low turnover, on the edge)🚧",0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,21.185733101041933,"🔹[IP1a]GK Restart(around, low turnover)❌⚠️",0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,16.229960715702873,"🔹🔸Defensive transition(low turnover, counter-attack)✅⭐️",0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,12.979931972789245,🔸[OP5] Shot-blocker attitudes⭐️,0,,,,,,,,,,,"✅, ⭐️",,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,18.485856940082158,"🔸[OP4]Low Block(RTriangle, cross, box unit)✅",0,,,,,,,,,,,,,.
251203_Liverpool_Sunderland_ANALYST2ANGLES,0.0,43.058780818145806,"🔹[IP1b]GK Restart(8"", 4v3, IB, 2nd ball)✅",0,,,,,,,,,,,,,.
