Timeline,Start time,Duration,Row,Instance number,<flag>.,Adversaire,Contexte,Date,HALF TIME,Journée,Lieu,MINUTE,Pourcentage,Qualite,Score final,TIME PERIOD,Type action,✅,✅✅,❌,❌❌,🔸🔹[OT] Clear the ball,🔸🔹[OT] Counter-attack,🔸🔹[OT] Keep the ball,🔹🔸[DT] Counter-attack,🔹🔸[DT] Quick regain,Ungrouped,Notes,Flags
260228_Bournemouth_Sunderland_ANALYST,0.0,21.40014630532005,"🔸[OP1a]GK Restart(OS, long, 1st contact/retain possession)✅⭐️",0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,34.20484790706905,"🔹[IP4]Attacking Phase(high regain, RSide, 10 IB, shot/2nd ball)✅✅⚽️",0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,31.134234712135367,"🔹[OSP] Throw-in(L, DZ, flip the pressure)✅",0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,35.159705215419535,"🔸🔹Offensive transition(clearance, 2nd ball, cross)✅⭐️",0,,,,,,,,,,,,,,,,,,,,,,,🔸🔹[OT] Clear the ball,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,26.567641342895968,"🔸[OP1b]GK Restart(OS, short, good press RSide)✅",0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,19.73979706880982,"🔸🔹Offensive transition(clearance, 2nd ball, cross not adjusted)✅",0,,,,,,,,,,,,,,,,,,,,,,,🔸🔹[OT] Counter-attack,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,24.54013809077719,"🔸[OP1a]GK Restart(OS, short, quick, duel lost)❌",0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,78.11064018052843,"🔸[OP4]Low Block(R↔L triangles, strong then indiv. mistake=cross)❌❌🔍",0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,28.8181807485812,"🔸[DSP] Corner(R, mid zone, 2 phases)✅🔍",0,,,,,,,,,,,,,,,,,,,,,,,,StandardSet-up,.
260228_Bournemouth_Sunderland_ANALYST,0.0,12.0,"🔹[IP1a]GK Restart(HBlock, too long)❌",0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,25.80015850228483,"🔸[OP1b]GK Restart(OS, long, 1st contact, around/IB)✅⭐️",0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,30.79378633596025,"🔸[OP1a]GK Restart(OS, short then long, 1st contact, 2nd ball, foul won)✅⭐️",0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,16.877520596844533,"🔹[OSP] Free kick(R, wide, good block, inaccurate delivery)✅🔍",0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,21.832393463577773,"🔸[OP1b]GK Restart(OS, quick, after attacking FK)🚧",0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,34.84567858630544,"🔸[OP3b]Mid Block(RSide, CB intervention)✅",0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,24.48993197278901,"🔹🔸Defensive transition(forced long play, cheap turnover, 2 shots conceded)❌❌🔍",0,,,,,,,,,,,,,,,,,,,,,,,🔹🔸[DT] Counter-attack,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,23.421673236030983,"🔸[OP4]Low Block(LTRiangle, cross opposite side)✅",0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,16.453402087577615,"🔸[DSP] Corner(L, edge of the box)🚧🔍",0,,,,,,,,,,,,,,,,,,,,,,,,Kroupi - 1st Corner right side,.
260228_Bournemouth_Sunderland_ANALYST,0.0,19.85010363146307,"🔸[OP3b]Mid Block(IB, MFM-Zonal, RCB?)🚧🔍",0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,19.895601831215572,"🔹[OSP] Throw-in(R, DZ, flip the pressure)❌",0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,40.517837644999645,"🔸[OP3b]Mid Block(RSide, narrow, LSide, shot)✅",0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,37.44791826590972,"🔹[IP1a]GK Restart(OS, around, IB, 2nd ball)✅",0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,14.270080475354462,"🔹[IP2]Low Build-up(OS, foul won under pressure)🚧",0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,15.5601118535169,"🔹[IP3b]Progression(RCB→10→7, turnover)❌",0,,,,,,,,,,,,,,,,,,,,,,,,,.
