Timeline,Start time,Duration,Row,Instance number,<flag>.,Adversaire,Contexte,Date,HALF TIME,Journée,Lieu,MINUTE,Pourcentage,Qualite,Score final,TIME PERIOD,Type action,✅✅,❌❌,🏈,🔸🔹[OT] Keep the ball,Ungrouped,Notes,Flags
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,30.820191680375046,"🔸[OP4]Low Block(LTriangle, interception through the middle)✅",0,,,,,,,,,,,,,,,,,,,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,34.15100585791515,🔸🔹Offensive transition(2 consecutive cheap turnovers under pressure)❌🔍,0,,,,,,,,,,,,,,,,,,,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,17.876287941230657,🔸🔹Offensive transition(cheap turnover near the box)❌,0,,,,,,,,,,,,,,,,,,,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,40.67111648552486,"🔹[IP3b]Progression(build with 3, under pressure, long)❌",0,,,,,,,,,,,,,,,,,,,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,32.8188384172081,"🔹[IP3b]Progression(build with 4, good 1st step, silly turnover !!)❌⚠️",0,,,,,,,,,,,,,,,,,,,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,21.090112167509005,🔹🔸Defensive transition(counter-A)✅,0,,,,,,,,,,,,,,,,,,,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,27.281465276405243,🔸🔹Offensive transition(silly turnover ...)❌,0,,,,,,,,,,,,,,,,,,,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,21.721748797154305,"🔹🔸Defensive transition(counter-A, chance against)❌❌",0,,,,,,,,,,,,,,,,,,,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,21.45014922980613,"🔹[IP1a]GK Restart(OS, spare man, long to the 9, foul)🚧",0,,,,,,,,,,,,,,,,,,,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,17.590113663551165,🔸[OP3b]Mid Block(trigger via a 6)✅⭐️,0,,,,,,,,,,,,,,,,,,,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,33.861194298704504,🔸[OP2]High Press(MFM deactivated cause CB)❌,0,,,,,,,,,,,,,,,,,,,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,56.892784703262805,"🔸[OP3b]Mid Block(good press, LSide delay, 2 crosses)❌",0,,,,,,,,,,,,,,,,,,,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,30.24016701606388,"🔹[IP1b]GK Restart(OS, long to the 9, 2nd ball)✅⭐️",0,,,,,,,,,,,,,,,,,,,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,25.290156372695265,🔸[OP2]High Press(MFM desengaged cause CB)❌🔍,0,,,,,,,,,,,,,,,,,,,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,16.810096614332906,"🔸[OP3b]Mid Block(delayed LTriangle, cross)❌🔍",0,,,,,,,,,,,,,,,,,,,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,14.720078949857225,"🔹[IP1a]GK Restart(HBlock, 2nd ball)❌",0,,,,,,,,,,,,,,,,,,,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,21.70014630841024,"🔸[OP4]Low Block(RTriangle, narrow first)❌",0,,,,,,,,,,,,,,,,,,,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,10.102666050317339,"🔸[DSP] Free kick(R, indirect)✅",0,,,,,,,,,,,,,,,,,,,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,15.28009022401011,"🔹[IP1a]GK Restart(OS, spare man)✅",0,,,,,,,,,,,,,,,,,,,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,20.9501082061347,"🔹[IP2]Low Build-up(OS, short, cheap turnover)❌",0,,,,,,,,,,,,,,,,,,,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,24.457153740900594,"🔸[OP3b]Mid Block(press, long ball, sloppy regain, IB)❌❌🏈",0,,,,,,,,,,,,,,,,,,,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,41.29147304530534,"🔹[IP2]Low Build-up(loss of control, long, short ...)❌🔍",0,,,,,,,,,,,,,,,,,,,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,44.17694879026385,🔹🔸Defensive transition(loss of control)❌,0,,,,,,,,,,,,,,,,,,,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,14.1600874778037,"🔸[DSP] Corner(L, 2 phases)✅",0,,,,,,,,,,,,,,,,,,,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,19.420148964611826,"🔹[IP1a]GK Restart(OS, long under pressure)❌",0,,,,,,,,,,,,,,,,,,,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,21.120136854185148,"🔹[IP2]Low Build-up(long, 2nd ball)✅⭐️",0,,,,,,,,,,,,,,,,,,,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,26.1401533185508,"🔹[IP3b]Progression(6 drops, RTriangle, offside)🚧",0,,,,,,,,,,,,,,,,,,,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,12.830062784020356,"🔸[OP1a]GK Restart(HBlock, 1st contact lost, 2nd ball)✅",0,,,,,,,,,,,,,,,,,,,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,18.630094795966215,"🔹[IP1a]GK Restart(OS, quick, around, into the 9)✅⭐️",0,,,,,,,,,,,,,,,,,,,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,34.60979494771118,"🔹[OSP] Free kick(wide, L, delivery)❌",0,,,,,,,,,,,,,,,,,,,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,61.33031120619171,"🔹[IP4]Attacking Phase5RSide, 2 attacks, shot)✅",0,,,,,,,,,,,,,,,,,,,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,37.00997927721073,"🔹[OSP] Corner(L, mid-zone, 2 phases)🚧",0,,,,,,,,,,,,,,,,,,,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,20.0,"🔹🔸Defensive transition(counter-attack, naive decision-making)❌",0,,,,,,,,,,,,,,,,,,,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,20.88011919379187,"🔹[IP2]Low Build-up(spare man, foul)✅",0,,,,,,,,,,,,,,,,,,,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,62.709172948263586,"🔹[IP4]Attacking Phase(High possession, forced retreat to GK)❌",0,,,,,,,,,,,,,,,,,,,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,26.480120709612038,🔹[IP2]Low Build-up(long under pressure)❌,0,,,,,,,,,,,,,,,,,,,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,11.000070096685704,"🔸[OP4]Low Block(L-triangle exposed, ball played into the GK–defence channel)⚠️",0,,,,,,,,,,,,,,,,,,,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,9.060046338143366,"🔸[DSP] Corner(R, front post)✅",0,,,,,,,,,,,,,,,,,,,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,13.36766131678678,"🔸[DSP] Corner(R, mid zone)✅",0,,,,,,,,,,,,,,,,,,,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,32.22531999196735,🔹[IP1b]GK Restart(around)✅⭐️,0,,,,,,,,,,,,,,,,,,,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,27.62687356216702,"🔹[IP2]Low Build-up(2x pivot, through, into the 9)🚧⭐️",0,,,,,,,,,,,,,,,,,,,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,34.50861299462849,🔹🔸Defensive transition(balance in possession?)⚠️,0,,,,,,,,,,,,,,,,,,,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,25.196347741992213,"🔹[IP1a]GK Restart(Hblock, unclear set-up)❌⚠️",0,,,,,,,,,,,,,,,,,,,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,15.858346577326301,🔸[DSP] Free kick,0,,,,,,,,,,,,,,,,,,❌❌,,.
260107_Brentford_Sunderland_ANALYST3ANGLES,0.0,17.235006485891063,"🔹[OSP] Throw-in(L, HZ, 2-man, poor cross)🚧",0,,,,,,,,,,,,,,,,,,,,.
