Timeline,Start time,Duration,Row,Instance number,<flag>.,❌❌,Ungrouped,Notes,Flags
251228_Sunderland_LeedsUnited_ANALYST,0.0,57.569091685322746,"🔹[IP3a]Progression(spare man, LTRiangle)✅⭐️",0,,,,,.
251228_Sunderland_LeedsUnited_ANALYST,0.0,18.32830647116225,"🔹[OSP] Throw-in(L, HZ, long, 2nd phase)✅✅⚽️",0,,,,,.
251228_Sunderland_LeedsUnited_ANALYST,0.0,16.51662041611553,🔸[DSP] Kick-off(1st contact lost)🚧,0,,,,,.
251228_Sunderland_LeedsUnited_ANALYST,0.0,46.06311069878052,"🔹[IP1b]GK Restart(switch, off the shoulder)✅⭐️",0,,,,,.
251228_Sunderland_LeedsUnited_ANALYST,0.0,17.327846224566883,🔹[IP4]Attacking Phase(LTRiangle)❌,0,,,,,.
251228_Sunderland_LeedsUnited_ANALYST,0.0,21.672042003606293,"🔸[OP4]Low Block(RTriangle, cross)🚧🔍",0,,,,,.
251228_Sunderland_LeedsUnited_ANALYST,0.0,21.493382325844095,"🔸[DSP] Throw-in(R, DZ, long)✅",0,,,,,.
251228_Sunderland_LeedsUnited_ANALYST,0.0,15.000064005794684,"🔸[DSP] Corner(L, 1st contact)🚧⚠️",0,,,,,.
251228_Sunderland_LeedsUnited_ANALYST,0.0,17.670097219424406,"🔹[IP1b]GK Restart(around, rushed decision)❌",0,,,,,.
251228_Sunderland_LeedsUnited_ANALYST,0.0,13.6600920642054,"🔸[DSP] Corner(L, 1st contact)✅",0,,,,,.
251228_Sunderland_LeedsUnited_ANALYST,0.0,19.799619024077856,"🔸[OP2]High Press(long, 1st contact)❌",0,,,,,.
251228_Sunderland_LeedsUnited_ANALYST,0.0,29.48031105339078,"🔸[OP2]High Press(zonal → MFM? disengagement, fixing?)❌🔍",0,,,,,.
251228_Sunderland_LeedsUnited_ANALYST,0.0,21.240138077255324,"🔸[OP3b]Mid Block(LTriangle, cross)❌⚠️",0,,,,,.
251228_Sunderland_LeedsUnited_ANALYST,0.0,33.500086188062596,🔹[IP3b]Progression(positional play?)🚧🔍,0,,,,,.
251228_Sunderland_LeedsUnited_ANALYST,0.0,76.35991135293034,"🔸[OP2]High Press(long MFM sequence, possession retention issues)❌🔍",0,,,,,.
251228_Sunderland_LeedsUnited_ANALYST,0.0,17.707859123164326,🔸🔹Offensive transition(quick turnover)❌,0,,,,,.
251228_Sunderland_LeedsUnited_ANALYST,0.0,15.78020746782795,"🔸[OP4]Low Block(early cross, 2nd zone)❌❌🔍",0,,,,,.
251228_Sunderland_LeedsUnited_ANALYST,0.0,20.70834779695133,"🔹[IP1a]GK Restart(OS, CB steps in, long)❌",0,,,,,.
251228_Sunderland_LeedsUnited_ANALYST,0.0,30.81804021101925,"🔸[OP3b]Mid Block(good zonal workflow, individual error)❌",0,,,,,.
251228_Sunderland_LeedsUnited_ANALYST,0.0,27.194296061914883,"🔹[IP1a]GK Restart(HBlock, 2nd ball, cross conceded)❌",0,,,,,.
251228_Sunderland_LeedsUnited_ANALYST,0.0,21.56239993529016,🔸[OP4]Low Block(RTRiangle)✅,0,,,,,.
251228_Sunderland_LeedsUnited_ANALYST,0.0,9.029974411847888,"🔹[OSP] Throw-in(R, DZ, turnover)❌",0,,,,,.
251228_Sunderland_LeedsUnited_ANALYST,0.0,54.1828930269603,"🔸[OP4]Low Block(L-RTriangles, dangerous cross)❌⚠️",0,,,,,.
251228_Sunderland_LeedsUnited_ANALYST,0.0,15.160075289416,🔹[IP1a]GK Restart(HBlock)✅,0,,,,,.
251228_Sunderland_LeedsUnited_ANALYST,0.0,20.669858204938464,"🔹[IP3b]Progression(around, into the pressing trap)❌",0,,,,,.
251228_Sunderland_LeedsUnited_ANALYST,0.0,15.75517121614439,"🔸[DSP] Corner(R, 1st contact)✅",0,,,,,.
251228_Sunderland_LeedsUnited_ANALYST,0.0,15.590109134292561,"🔹[OSP] Throw-in(R, DZ, 2nd ball, switch)✅⭐️",0,,,,,.
251228_Sunderland_LeedsUnited_ANALYST,0.0,12.85007315669236,"🔹[OSP] Throw-in(L, MZ, backpass)✅",0,,,,,.
251228_Sunderland_LeedsUnited_ANALYST,0.0,28.430155761408514,"🔹[IP2]Low Build-up(long, 2nd ball, IB)✅✅",0,,,,,.
