Timeline,Start time,Duration,Row,Instance number,<flag>.,Event,Half,Pass,Player,Team,Zone,🔸[DSP],🔸[OP] --> 🔹[IP],🔸[OP] Restart Phase,🔸[OP] Zonal Defence,🔹[IP] Progression Phase,🔹[IP] Restart Phase,🔹[OSP],Ungrouped,Notes,Flags
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,11.590093878968219,"🔹[I1a] GK Restarts(OS, CB steps up, lack of composure)❌",0,,,,,,,,,,,,,"Short, Around",,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,22.300162994887387,"🔸[OP4] Low Block(LTriangle, through)⚠️",0,,,,,,,,,,,Side Overloads,,,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,37.700107990522156,"🔹[I1a] GK Restarts(8"", mid-long IB FB)✅",0,,,,,,,,,,,,,"Short, Around",,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,33.42999110402502,"🔸[OP2] High Press(adaptive jump, long ball)✅🔎",0,,,,,,,,,,,,,,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,37.37864683210137,🔹[I3b] Progression(lack of composure!)❌,0,,,,,,,,,,,,,,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,17.000109738590254,🔸🔹Defensive Transition✅,0,,,,,,,,,,,,,,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,46.57028157490686,"🔹[I3b] Progression(back3 with Noah, triangle rotation, lack of composure)🚧🔎",0,,,,,,,,,,,,,,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,19.430102429336557,"🔸[OP4] Low Block(LTriangle, cross, marking)✅",0,,,,,,,,,,,,,,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,29.234073476221965,"🔹[I1a] GK Restarts(OS, CB steps up, lack of composure)❌",0,,,,,,,,,,,,,,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,20.5,🔸🔹Defensive Transition✅🔎,0,,,,,,,,,,,,,,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,31.935312235285892,"🔹[I1a] GK Restarts(OS, CB steps up, composure)✅",0,,,,,,,,,,,,,"Short, Around",,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,27.280167967767284,"🔹[IP4] Attacking Phase(LTriangle, cross, counter-pressing)✅",0,,,,,,,,,,,,,,,,,.
