Timeline,Start time,Duration,Row,Instance number,<flag>.,✅✅,❌❌,Ungrouped,Notes,Flags
Tactical_with_scoreboard,0.0,19.430137475171477,"🔹[IP2]Low Build-up(OS, GK long into the 9)✅⭐️",0,,,,,,.
Tactical_with_scoreboard,0.0,31.630199941191222,"🔸[OP3b]Mid Block(lack of defending composure, x2)❌",0,,,,,,.
Tactical_with_scoreboard,0.0,27.140830380986245,"🔸[DSP] Corner(R, back post, good marks)✅",0,,,,,,.
Tactical_with_scoreboard,0.0,33.321449659335485,"🔹[IP1b]GK Restart(OS, mid rang pass, cheap turnover inside)❌",0,,,,,,.
Tactical_with_scoreboard,0.0,30.736143614343064,🔸[OP4]Low Block(R-LSides)✅,0,,,,,,.
Tactical_with_scoreboard,0.0,29.43905368036667,"🔸[DSP] Corner(L, 2-man, 2 phases)✅",0,,,,,,.
Tactical_with_scoreboard,0.0,35.099122940544476,"🔸[OP2]High Press(OS, long, regain)✅",0,,,,,,.
Tactical_with_scoreboard,0.0,31.610543438826653,"🔹[IP4]Attacking Phase(LCB into the 10, cross opposite RW)✅⭐️",0,,,,,,.
Tactical_with_scoreboard,0.0,16.814997432700693,"🔹🔸Defensive transition(CA, rest defence on the edge)✅⚠️",0,,,,,,.
Tactical_with_scoreboard,0.0,13.710095091336598,"🔹[IP2]Low Build-up(OS, forced long under pressure)❌",0,,,,,,.
Tactical_with_scoreboard,0.0,38.21880533393028,"🔸[OP3b]Mid Block(6 triggers, big gap)❌❌🔍",0,,,,,,.
Tactical_with_scoreboard,0.0,13.290582752579212,"🔹[IP1a]GK Restart(OS, mid range)❌",0,,,,,,.
Tactical_with_scoreboard,0.0,30.64109395806645,"🔸[OP2]High Press(OS, perfect set-up)✅⭐️",0,,,,,,.
Tactical_with_scoreboard,0.0,25.355338160960855,"🔸[OP1a]GK Restart(HBlock, 1st contact)✅⭐️",0,,,,,,.
Tactical_with_scoreboard,0.0,32.928978479334546,"🔹[IP2]Low Build-up(OS, short, around, into the 9)✅⭐️",0,,,,,,.
Tactical_with_scoreboard,0.0,28.226774384853343,"🔹[IP3b]Progression(through, LSide cross)✅🔍",0,,,,,,.
Tactical_with_scoreboard,0.0,17.79011674218782,"🔸[OP1a]GK Restart(OS, short, quick)✅",0,,,,,,.
Tactical_with_scoreboard,0.0,42.17670565558001,"🔸[OP4]Low Block(good animation, foul)✅",0,,,,,,.
Tactical_with_scoreboard,0.0,9.740055776943791,"🔸[DSP] Free kick(R, wide)✅",0,,,,,Corner set-up?,.
Tactical_with_scoreboard,0.0,31.041605033283304,"🔹[IP1a]GK Restart(OS, long under pressure)❌🔍",0,,,,,,.
