Timeline,Start time,Duration,Row,Instance number,0-15,15-30,30-45,45-60,60-75,75-90,<flag>Nouveau drapeau,Back 4 Line Management,DATE,Diagonal Pass,GameTime,Opposition,Period,Round,Score,Set Play Phase,Venue,🔸 [OP] Zonal Defence,🔸[OP] Box Defence,🔸[OP] Def Restart Phase,🔹[IP] Build/Progression Phase,🔹[IP] Final Third Phase,🔹[IP] Restart Phase,Ungrouped,Notes,Flags
250816_Sunderland_WestHamUnited_ANALYST,0.0,18.29017003001809,[OP3b] Mid Block(→ 4-4-2 vs 2 pivots)✅🔎,0,,,,,,,,,2O250816,,00:14:35,West Ham United,1,R1,3-0,,Home,"Organisation & Triggers, Back 4 Line Management",,,,,,,,Nouveau drapeau
250816_Sunderland_WestHamUnited_ANALYST,0.0,25.619871265777192,"[IP3a] Build (3+2, game plan opportunity IB)❌🔎",0,,,,,,,,,2O250816,,00:14:52,West Ham United,1,R1,3-0,,Home,,,,,,,,,Nouveau drapeau
250816_Sunderland_WestHamUnited_ANALYST,0.0,17.72990128736558,"[IP3b] Attacking (4-3-3, Numbers Recognition)❌",0,,,,,,,,,2O250816,,00:15:50,West Ham United,1,R1,3-0,,Home,,,,,,,15-30,,Nouveau drapeau
250816_Sunderland_WestHamUnited_ANALYST,0.0,26.514517234998948,"[IP3b] Attacking (4-3-3, switch play, LTriangle)❌🔎",0,,,,,,,,,"2O250816, 2O250816",,"00:16:21, 00:15:50","West Ham United, West Ham United","1, 1","R1, R1","3-0, 3-0",,"Home, Home",,,,,,,"15-30, 15-30",,Nouveau drapeau
250816_Sunderland_WestHamUnited_ANALYST,0.0,12.726821278716216,Defensive Transition (Loss of Possession)✅,0,,,,,,,,,2O250816,,00:16:36,West Ham United,1,R1,3-0,,Home,,,,,,,15-30,,Nouveau drapeau
250816_Sunderland_WestHamUnited_ANALYST,0.0,19.950153938908215,"[IP3b] Attacking (4-3-3, RTriangle)🚧",0,,,,,,,,,2O250816,,00:17:37,West Ham United,1,R1,3-0,,Home,,,,,,,15-30,,Nouveau drapeau
250816_Sunderland_WestHamUnited_ANALYST,0.0,19.250013485367845,"[IP3a] Build (3+2, game plan opportunity IB)❌🔎",0,,,,,,,,,2O250816,,00:18:10,West Ham United,1,R1,3-0,,Home,,,,In-Behind,,,15-30,,Nouveau drapeau
250816_Sunderland_WestHamUnited_ANALYST,0.0,38.80023934537826,"[IP3b] Attacking (4-3-3, RTriangle+, LTRiangle-)🚧",0,,,,,,,,,2O250816,,00:19:08,West Ham United,1,R1,3-0,,Home,,,,,,,15-30,CT,Nouveau drapeau
250816_Sunderland_WestHamUnited_ANALYST,0.0,24.403687333328435,Defensive Transition (Loss of Possession)❌,0,,,,,,,,,2O250816,,00:19:24,West Ham United,1,R1,3-0,,Home,,,,,,,15-30,,Nouveau drapeau
250816_Sunderland_WestHamUnited_ANALYST,0.0,20.0,"Attacking Throw In(R, DZ)❌",0,,,,,,,,,2O250816,,00:21:41,West Ham United,1,R1,3-0,"Right, Def Half",Home,,,,,,,15-30,,Nouveau drapeau
250816_Sunderland_WestHamUnited_ANALYST,0.0,22.59925266599521,"[IP1c] GK Restarts Direct (HB, 2nd ball)❌",0,,,,,,,,,2O250816,,00:22:26,West Ham United,1,R1,3-0,,Home,,,,,,,15-30,,Nouveau drapeau
250816_Sunderland_WestHamUnited_ANALYST,0.0,41.67023592617966,[OP3b] Mid Block(zonal 4-2-3-1 principles)🚧,0,,,,,,,,,2O250816,,00:23:09,West Ham United,1,R1,3-0,,Home,,,,,,,15-30,,Nouveau drapeau
250816_Sunderland_WestHamUnited_ANALYST,0.0,14.880108509305728,[OP4a] Low Block(LTRiangle)⚠️,0,,,,,,,,,2O250816,,00:24:07,West Ham United,1,R1,3-0,,Home,Back 4 Line Management,Last Line Conceded,5-4-1,,,,15-30,,Nouveau drapeau
