Timeline,Start time,Duration,Row,Instance number,<flag>.,<flag>Keep,🔸🔹[OT] Clear the ball,🔸🔹[OT] Keep the ball,Ungrouped,Notes,Flags
261201_Sunderland_ManchesterCity_ANALYST,0.0,27.96015605726984,"🔸[OP1b]GK Restart(HB, long, 1st conatct, 2nd ball)✅",0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,13.450092965175145,"🔸[OP4]Low Block(RTriangle, 1v1, cross, poor marking!!)⚠️",0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,23.40010974260099,"🔹[OSP] Throw-in(L, DZ, turnover)❌",0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,14.210030958617153,"🔸[OP3b]Mid Block(compact, proactive)✅",0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,58.27309869929741,"🔸[OP2]High Press(Unfixed overload, poor coordination → press broken )❌🔍",0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,46.22782740595517,"🔸[OP4]Low Block(cross, striker's marking)✅⚠️",0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,25.46637779369621,"🔹[OSP] Throw-in(R, MZ)✅⭐️",0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,34.21024297007716,"🔹[IP2]Low Build-up(around, switch)✅⭐️",0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,8.430052115077615,"🔹🔸Defensive transition(counter-pressing, mid-regain)✅⭐️",0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,20.36007071631525,"🔹🔸Defensive transition(counter-pressing, high-regain)✅⭐️",0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,12.329164409923578,"🔹[OSP] Corner(L, far post)🚧",0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,15.820095708746521,"🔸[OP1a]GK Restart(OS, long, physical dominance in the duel)✅",0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,11.629991211734705,"🔹[OSP] Throw-in(L, MZ)✅⭐️",0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,20.120150552895666,"🔹[IP2]Low Build-up(around, IB, turnover)❌",0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,29.580187767121515,"🔸[OP4]Low Block(LTriangle, cross, penalty spot)❌❌",0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,25.367920204484562,"🔸🔹Offensive transition(counter-attack, IB the FB)✅⭐️",0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,28.800379059139686,"🔹[OSP] Throw-in(R, HZ, long, 2 phases)🚧",0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,15.668089491681258,"🔸[DSP] Corner(L, far post)✅",0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,31.623306170825344,"🔹[IP1a]GK Restart(OS, spare man, IB, 2nd ball)✅⭐️",0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,11.66784799078232,"🔹🔸Defensive transition(counter-pressing, foul)✅",0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,39.87302351016115,"🔸[OP3]Mid-High Press(proactive, high regain)✅⭐️",0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,21.79013809138769,"🔸[OP1a]GK Restart(nfixed overload, poor coordination → press broken)❌🔍",0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,57.52026031128844,"🔸[OP3b]Mid Block(compact, proactive, error forced)✅⭐️",0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,16.657215457939856,"🔹[OSP] Throw-in(L, DZ, flip the pressure)✅",0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,18.68290174984304,"🔹[OSP] Throw-in(R, MZ, turnover)❌",0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,19.94012741534607,"🔸[OP2]High Press(HPress, long, quick regain)✅",0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,19.860093577722637,"🔹[IP2]Low Build-up(OS, long under pressure, turnover)❌",0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,28.53291212403292,"🔸[OP2]High Press(long, 1st contact, cheap turnover)❌",0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,21.786453004955092,🔸[OP4]Low Block(compact centrally)✅,0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,46.129708140331786,"🔹[IP1b]GK Restart(around, cheap turnover)❌⚠️",0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,30.970144502713538,"🔹[IP1a]GK Restart(HBlock, 2nd ball)✅",0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,31.98019996795938,"🔹[OSP] Throw-in(L, MZ)✅",0,,,,,,,.
261201_Sunderland_ManchesterCity_ANALYST,0.0,31.280137462197217,"🔹[IP4]Attacking Phase(LSide, cross, header)✅✅",0,,,,,,,.
