Timeline,Start time,Duration,Row,Instance number,<flag>.,Adversaire,Contexte,Date,Event,HALF TIME,Half,Journée,Lieu,MINUTE,Pass,Player,Pourcentage,Qualite,Score final,TIME PERIOD,Team,Type action,Zone,✅✅,❌❌,🔸🔹[OT] Keep the ball,🔹🔸[DT] Back in,Ungrouped,Notes,Flags
260314_Sunderland_Brighton_ANALYST,0.0,29.78199840096977,"🔸[OP3b]Mid Block(LTRiangle, cross)❌🔍",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,22.8601606326165,"🔹[IP1b]GK Restart(OS, rushed short, forced long, turnover)❌",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,11.270074365353366,🔸[OP3b]Mid Block(dominant in duels)✅⭐️,0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,13.015408402259936,"🔸🔹Offensive transition(opportunity, sloppy)❌",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,18.860172814911607,"🔸[OP3b]Mid Block(zonal shape, pressing triggers??)🚧🔍",0,,,,,,,,,,,,,,,,,,,,,,,,🔸🔹[OT] Keep the ball,,.
260314_Sunderland_Brighton_ANALYST,0.0,17.6451727856479,"🔹[IP2]Low Build-up(OS, mid-range pass to RB, foul won)✅",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,16.571205392137472,"🔹[IP2]Low Build-up(OS, unecessary backpass, forced long)❌",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,40.78858843967964,"🔸[OP2]High Press(OS, long, 2 phases,clean regain)✅⭐️",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,13.24992230867349,🔸🔹Offensive transition(shot outside the box)✅,0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,37.91024142790286,"🔸[OP3b]Mid Block(zonal shape, pressing triggers??)❌⚠️",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,18.17231405485063,🔸[OP4]Low Block(through)❌⚠️,0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,22.06919560253118,"🔹[IP1b]GK Restart(OS, short, quick restart)✅⭐️",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,45.12838334780872,"🔹[IP3b]Progression(circulation around, composure, rushed IB pass)🚧",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,43.52431541718397,🔸[OP3b]Mid Block(zonal → MFM v Back3)✅⭐️,0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,32.61033446259239,"🔸🔹Offensive transition(give & go, cross back post)✅",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,21.95012955372613,"🔹[OSP] Throw-in(R, MZ, into the 9, support, switch)✅⭐️",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,21.894916279878544,"🔹[IP4]Attacking Phase5LSide circulation, IB to the 10)🚧",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,57.10497022277559,"🔸[OP1b]GK Restart(OS, short, regain not secured then MFM jump issue)❌🔍",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,14.711038545915926,🔹[IP1a]GK Restart(HBlock)🚧,0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,32.248414556756416,"🔸[OP1b]GK Restart(OS, short, mid regain)✅⭐️",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,12.804490142289524,"🔸🔹Offensive transition(counter-attack, off side/sloppy)🚧",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,24.780268435536982,"🔸[OP2]High Press(OS, long, clean regain)✅",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,38.05710419310526,"🔸🔹Offensive transition(counter-attack, 2 crosses, 1 shot)✅⭐️",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,26.00473604378294,"🔸[OP1b]GK Restart(OS, long, regain not secured)❌",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,61.378931116590365,Game management(sloppy)⚠️,0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,43.29935461313903,"🔸[OP2]High Press(OS, short, lack of intensity in duels)❌❌",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,55.65498540102112,Game management(sloppy)⚠️,0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,21.840081675813735,"🔹[IP1b]GK Restart(OS, quick through ball, sloppy touch, back pass)✅⚠️",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,20.994024860529862,"🔹[IP2]Low Build-up(OS, short to LB, turnover)❌",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,22.591307127491973,🔹🔸Defensive transition(deep turnover well managed)✅,0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,18.14574533766404,"🔸[OP4]Low Block(RTriangle, poor tracking, cross)❌",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,17.6214978813955,"🔸[DSP] Corner(R, 1st contacts lost)❌❌",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,32.69808763212768,"🔸[OP2]High Press(OS, short around, IB after)🚧",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,45.08596765765947,"🔹[IP3a]Progression(RSide circulation, switch)✅",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,15.35007771848791,"🔹[IP4]Attacking Phase(LW 1v1, cross)✅",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,32.092939678909715,"🔸[OP1b]GK Restart(OS, short into the 9, slow reactions, cross)❌⚠️",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,20.328181571746427,"🔹[OSP] Throw-in(L, DZ, flip the pressure)✅",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
