Timeline,Start time,Duration,Row,Instance number,<flag>.,Adversaire,Contexte,Date,HALF TIME,Journée,Lieu,MINUTE,Pourcentage,Qualite,Score final,TIME PERIOD,Type action,🔸🔹[OT] Counter-attack,🔸🔹[OT] Keep the ball,🔹🔸[DT] Back in,🔹🔸[DT] Quick regain,Ungrouped,Notes,Flags
260202_Sunderland_Burnley_ANALYST3ANGLES,0.0,33.56014387995447,"🔸[OP1a]GK Restart(OS, around, long, regain)✅",0,,,,,,,,,,,,,,,,,,,,.
260202_Sunderland_Burnley_ANALYST3ANGLES,0.0,31.280184723142384,"🔹[IP2]Low Build-up(short, into the 7, sloppy)❌",0,,,,,,,,,,,,,,,,,,,,.
260202_Sunderland_Burnley_ANALYST3ANGLES,0.0,51.18026242967062,"🔸[OP4]Low Block(R-L triangles, 2 crosses)✅",0,,,,,,,,,,,,,,,,,,,,.
260202_Sunderland_Burnley_ANALYST3ANGLES,0.0,44.9123867004414,"🔹[IP4]Attacking Phase(L-side, struggled to keep playing forward)🚧",0,,,,,,,,,,,,,,,,,,"🔸🔹[OT] Keep the ball, 🔸🔹[OT] Counter-attack",,.
260202_Sunderland_Burnley_ANALYST3ANGLES,0.0,13.460082908268078,"🔹[OSP] Throw-in(L, MZ)✅⭐️",0,,,,,,,,,,,,,,,,,,,,.
260202_Sunderland_Burnley_ANALYST3ANGLES,0.0,51.940278289604976,🔹[IP3b]Progression(struggled to keep playing forward)🚧,0,,,,,,,,,,,,,,,,,,,,.
260202_Sunderland_Burnley_ANALYST3ANGLES,0.0,19.890174757729937,"🔹[IP2]Low Build-up(LCB into the 9, 2nd ball, turnover)❌",0,,,,,,,,,,,,,,,,,,,,.
260202_Sunderland_Burnley_ANALYST3ANGLES,0.0,38.6602597190938,"🔸[OP3b]Mid Block(poor triggers R-side, OK L-side)🚧🔍",0,,,,,,,,,,,,,,,,,,,,.
260202_Sunderland_Burnley_ANALYST3ANGLES,0.0,31.320191743904843,"🔸[OP3b]Mid Block(poor triggers R-side, pass through, foul)🚧🔍",0,,,,,,,,,,,,,,,,,,,,.
260202_Sunderland_Burnley_ANALYST3ANGLES,0.0,11.85008992649341,"🔸[DSP] Free kick(deep central, blocks)✅",0,,,,,,,,,,,,,,,,,,,,.
260202_Sunderland_Burnley_ANALYST3ANGLES,0.0,19.02017796040559,"🔹[IP3b]Progression(+1 at the back, LB around)🚧🔍",0,,,,,,,,,,,,,,,,,,,,.
260202_Sunderland_Burnley_ANALYST3ANGLES,0.0,23.0,"🔹[OSP] Throw-in(L, MZ, CB movement)✅",0,,,,,,,,,,,,,,,,,,,,.
260202_Sunderland_Burnley_ANALYST3ANGLES,0.0,52.52153782038158,"🔸[OP3b]Mid Block(a bit passive, forced error)🚧",0,,,,,,,,,,,,,,,,,,,,.
260202_Sunderland_Burnley_ANALYST3ANGLES,0.0,26.29999630011207,"🔹[OSP] Throw-in(L, MZ, CB movement)✅",0,,,,,,,,,,,,,,,,,,,,.
260202_Sunderland_Burnley_ANALYST3ANGLES,0.0,31.28020300783055,"🔹[IP3b]Progression(struggle to progress, through the 9, LSide)🚧",0,,,,,,,,,,,,,,,,,,,,.
260202_Sunderland_Burnley_ANALYST3ANGLES,0.0,12.710096643038469,"🔹[OSP] Throw-in(L, MZ, pattern?)🚧",0,,,,,,,,,,,,,,,,,,,,.
260202_Sunderland_Burnley_ANALYST3ANGLES,0.0,9.690066455498936,"🔹[OSP] Throw-in(L, MZ, pattern?)🚧",0,,,,,,,,,,,,,,,,,,,,.
260202_Sunderland_Burnley_ANALYST3ANGLES,0.0,26.029303942738807,"🔹[OSP] Throw-in(L, MZ, back pass)✅",0,,,,,,,,,,,,,,,,,,,,.
260202_Sunderland_Burnley_ANALYST3ANGLES,0.0,39.19022802230188,"🔹[IP2]Low Build-up(around, through)✅🔍",0,,,,,,,,,,,,,,,,,,,,.
260202_Sunderland_Burnley_ANALYST3ANGLES,0.0,17.570144495848126,"🔸[OP2]High Press(long, regain)✅",0,,,,,,,,,,,,,,,,,,,,.
260202_Sunderland_Burnley_ANALYST3ANGLES,0.0,20.200124965046598,"🔹[IP2]Low Build-up(long into the 9, inaccurate)❌",0,,,,,,,,,,,,,,,,,,,,.
260202_Sunderland_Burnley_ANALYST3ANGLES,0.0,42.257438884543035,"🔸[OP2]High Press(short, MFM, high regain)✅⭐️",0,,,,,,,,,,,,,,,,,,,,.
260202_Sunderland_Burnley_ANALYST3ANGLES,0.0,18.880117670340724,"🔸[OP1b]GK Restart(short, quick, foul)❌",0,,,,,,,,,,,,,,,,,,,,.
260202_Sunderland_Burnley_ANALYST3ANGLES,0.0,12.650048768492297,🔸[DSP] Free kick(wide)✅,0,,,,,,,,,,,,,,,,,,,,.
260202_Sunderland_Burnley_ANALYST3ANGLES,0.0,30.72080009432284,"🔹[IP1a]GK Restart(short, around, regain, IB, cross)✅✅⚽️",0,,,,,,,,,,,,,,,,,,,,.
260202_Sunderland_Burnley_ANALYST3ANGLES,0.0,24.320136881054623,"🔸[OP3b]Mid Block(IB, back line alignment)⚠️",0,,,,,,,,,,,,,,,,,,,,.
260202_Sunderland_Burnley_ANALYST3ANGLES,0.0,17.56013466301738,"🔹[IP1b]GK Restart(short, through, around, turnover)❌",0,,,,,,,,,,,,,,,,,,,,.
260202_Sunderland_Burnley_ANALYST3ANGLES,0.0,37.51020483551929,"🔸[OP2]High Press(quick lock-on, force long, first contact, regain)✅⭐️",0,,,,,,,,,,,,,,,,,,,,.
260202_Sunderland_Burnley_ANALYST3ANGLES,0.0,30.196182604227943,"🔹[OSP] Throw-in(R, MZ, patterns? Turnover)❌",0,,,,,,,,,,,,,,,,,,,,.
260202_Sunderland_Burnley_ANALYST3ANGLES,0.0,27.474056548765475,"🔹🔸Defensive transition(RSide exposed, cross, on the edge)❌⚠️",0,,,,,,,,,,,,,,,,,,,,.
260202_Sunderland_Burnley_ANALYST3ANGLES,0.0,13.83007956655274,"🔸[DSP] Corner(R, 2nd phase off side)✅",0,,,,,,,,,,,,,,,,,,,,.
260202_Sunderland_Burnley_ANALYST3ANGLES,0.0,15.990112184349982,"🔹[IP1a]GK Restart(HBlock, 2nd ball)✅",0,,,,,,,,,,,,,,,,,,,,.
260202_Sunderland_Burnley_ANALYST3ANGLES,0.0,25.300201145388655,"🔹[IP2]Low Build-up(short, forward option on, played around)🚧",0,,,,,,,,,,,,,,,,,,,,.
260202_Sunderland_Burnley_ANALYST3ANGLES,0.0,26.23018625662371,🔸[OP3b]Mid Block(proactive mid-block)✅,0,,,,,,,,,,,,,,,,,,,,.
