Timeline,Start time,Duration,Row,Instance number,<flag>.,Adversaire,Contexte,Date,HALF TIME,Journée,Lieu,MINUTE,Pourcentage,Qualite,Score final,TIME PERIOD,Type action,✅✅,🔸🔹[OT] Counter-attack,🔹🔸[DT] Back in,🔹🔸[DT] Quick regain,Ungrouped,Notes,Flags
251214_Sunderland_NewcastleUnited_ANALYST2ANGLES,0.0,92.09114049665618,"🔹[IP4]Attacking Phase(patience, variations, lacked final penetration)🚧🔍",0,,,,,,,,,,,,,,,,,,,,.
251214_Sunderland_NewcastleUnited_ANALYST2ANGLES,0.0,15.720086543542038,"🔹🔸Defensive transition(counter-press, foul)✅",0,,,,,,,,,,,,,,,,,,,,.
251214_Sunderland_NewcastleUnited_ANALYST2ANGLES,0.0,19.360145381344182,"🔸[OP2]High Press(coordinated animation, strong intensity)✅⭐️",0,,,,,,,,,,,,,,,,,,,,.
251214_Sunderland_NewcastleUnited_ANALYST2ANGLES,0.0,38.269046604378445,"🔸[OP1b]GK Restart(8"", long, block, 2nd ball lost, cross)🚧",0,,,,,,,,,,,,,,,,,,,,.
251214_Sunderland_NewcastleUnited_ANALYST2ANGLES,0.0,43.80692942125688,"🔸🔹Offensive transition(composure, RSide progression)✅⭐️",0,,,,,,,,,,,,,,,,,,,,.
251214_Sunderland_NewcastleUnited_ANALYST2ANGLES,0.0,38.910845826592094,"🔸[OP3b]Mid Block(pressing triggers, long)✅⭐️",0,,,,,,,,,,,,,,,,,,,,.
251214_Sunderland_NewcastleUnited_ANALYST2ANGLES,0.0,16.26089209936754,"🔹[IP2]Low Build-up(around, long to the RW, turnover)🚧",0,,,,,,,,,,,,,,,,,,,,.
251214_Sunderland_NewcastleUnited_ANALYST2ANGLES,0.0,15.710098155307833,🔸[OP3b]Mid Block(LTriangle issue)❌🔍,0,,,,,,,,,,,,,,,,,,,,.
251214_Sunderland_NewcastleUnited_ANALYST2ANGLES,0.0,53.0785811531548,"🔸[DSP] Corner(L, 3 phases)❌⚠️",0,,,,,,,,,,,,,,,,,,,,.
251214_Sunderland_NewcastleUnited_ANALYST2ANGLES,0.0,38.210262669862004,"🔸[OP4]Low Block(LSide dynamic, regain RSide, composure after the regain)✅⭐️",0,,,,,,,,,,,,,,,,,,,,.
251214_Sunderland_NewcastleUnited_ANALYST2ANGLES,0.0,21.292258777709094,"🔹[OSP] Free kick(deep, 2 inaccuracies)❌",0,,,,,,,,,,,,,,,,,,,*,.
251214_Sunderland_NewcastleUnited_ANALYST2ANGLES,0.0,19.650118866825323,"🔹[OSP] Throw-in(R, long, 2 phases, shot)✅",0,,,,,,,,,,,,,,,,,,,,.
251214_Sunderland_NewcastleUnited_ANALYST2ANGLES,0.0,11.40006552744876,🔸[OP1a]GK Restart(HBlock)✅,0,,,,,,,,,,,,,,,,,,,,.
251214_Sunderland_NewcastleUnited_ANALYST2ANGLES,0.0,15.120094191006274,"🔹[OSP] Throw-in(R, MZ, turnover)❌",0,,,,,,,,,,,,,,,,,,,,.
251214_Sunderland_NewcastleUnited_ANALYST2ANGLES,0.0,22.325138423297858,"🔹[OSP] Throw-in(L, MZ, 2 phases)✅",0,,,,,,,,,,,,,,,,,,,,.
251214_Sunderland_NewcastleUnited_ANALYST2ANGLES,0.0,23.290144155843564,"🔹🔸Defensive transition(counter-press, high regain)✅⭐️",0,,,,,,,,,,,,,,,,,,,,.
251214_Sunderland_NewcastleUnited_ANALYST2ANGLES,0.0,16.73010699129327,🔸[OP1a]GK Restart(HBlock)✅,0,,,,,,,,,,,,,,,,,,,,.
251214_Sunderland_NewcastleUnited_ANALYST2ANGLES,0.0,55.12914279900724,🔸[OP3b]Mid Block(LTriangle twice)✅⭐️,0,,,,,,,,,,,,,,,,,,,,.
251214_Sunderland_NewcastleUnited_ANALYST2ANGLES,0.0,19.54914256878601,"🔹[IP2]Low Build-up(RSide build-up, turnover)❌",0,,,,,,,,,,,,,,,,,,🔹🔸[DT] Back in,,.
251214_Sunderland_NewcastleUnited_ANALYST2ANGLES,0.0,37.46022917105347,🔸[OP4]Low Block(proactivity)✅⭐️,0,,,,,,,,,,,,,,,,,,,,.
251214_Sunderland_NewcastleUnited_ANALYST2ANGLES,0.0,13.180082596948296,🔸[DSP] Free kick(deep)✅,0,,,,,,,,,,,,,,,,,,,,.
251214_Sunderland_NewcastleUnited_ANALYST2ANGLES,0.0,12.86009051512201,"🔸[DSP] Throw-in(R, HZ, short, silly foul)❌",0,,,,,,,,,,,,,,,,,,,,.
251214_Sunderland_NewcastleUnited_ANALYST2ANGLES,0.0,7.84005119348285,"🔸[DSP] Free kick(L, 1st contact)✅",0,,,,,,,,,,,,,,,,,,,,.
251214_Sunderland_NewcastleUnited_ANALYST2ANGLES,0.0,30.292169901214038,"🔸[DSP] Throw-in(R, 2 phases)✅",0,,,,,,,,,,,,,,,,,,,,.
251214_Sunderland_NewcastleUnited_ANALYST2ANGLES,0.0,38.57735621766187,🔸🔹Offensive transition(2 phases)✅,0,,,,,,,,,,,,,,,,,,,,.
251214_Sunderland_NewcastleUnited_ANALYST2ANGLES,0.0,13.070072813426577,"🔸[DSP] Throw-in(L, 2-man, cross, block)✅",0,,,,,,,,,,,,,,,,,,,,.
251214_Sunderland_NewcastleUnited_ANALYST2ANGLES,0.0,18.030111546421722,"🔹[IP3b]Progression(8 drops, IB)✅",0,,,,,,,,,,,,,,,,,,,,.
251214_Sunderland_NewcastleUnited_ANALYST2ANGLES,0.0,49.930060839499674,"🔹[OSP] Throw-in(R, HZ, patience, cross)✅✅",0,,,,,,,,,,,,,,,,,,,,.
251214_Sunderland_NewcastleUnited_ANALYST2ANGLES,0.0,24.25017069624073,"🔸[OP1a]GK Restart(short, fake HBlock)❌",0,,,,,,,,,,,,,,,,,,,,.
251214_Sunderland_NewcastleUnited_ANALYST2ANGLES,0.0,18.200112767138307,"🔸[OP3b]Mid Block(RSIde dynamic, IB, backline cover)🚧⚠️",0,,,,,,,,,,,,,,,,,,,,.
251214_Sunderland_NewcastleUnited_ANALYST2ANGLES,0.0,15.830120531829834,"🔹[IP1a]GK Restart(HBlock, 2nd ball)✅",0,,,,,,,,,,,,,,,,,,,,.
251214_Sunderland_NewcastleUnited_ANALYST2ANGLES,0.0,12.09008014890287,"🔹[IP2]Low Build-up(long, flip the pressure)🚧",0,,,,,,,,,,,,,,,,,,,,.
251214_Sunderland_NewcastleUnited_ANALYST2ANGLES,0.0,28.230178627064106,"🔸[OP2]High Press(HPress, mid regain)✅",0,,,,,,,,,,,,,,,,,,,,.
251214_Sunderland_NewcastleUnited_ANALYST2ANGLES,0.0,32.61109243161263,"🔹[OSP] Kick-off(2nd ball, cross)✅",0,,,,,,,,,,,,,,,,,,,,.
251214_Sunderland_NewcastleUnited_ANALYST2ANGLES,0.0,21.913418415752858,"🔹[OSP] Throw-in(R, cross, forced own goal)✅✅⚽️",0,,,,,,,,,,,,,,,,,,,,.
251214_Sunderland_NewcastleUnited_ANALYST2ANGLES,0.0,21.118012594034553,🔸[DSP] Kick-off✅,0,,,,,,,,,,,,,,,,,,,,.
251214_Sunderland_NewcastleUnited_ANALYST2ANGLES,0.0,17.950099036941538,🔸[OP3b]Mid Block(pressing triggers)✅,0,,,,,,,,,,,,,,,,,,,,.
251214_Sunderland_NewcastleUnited_ANALYST2ANGLES,0.0,9.570057595067283,"🔸[DSP] Throw-in(R, DZ, turnover)❌",0,,,,,,,,,,,,,,,,,,,,.
251214_Sunderland_NewcastleUnited_ANALYST2ANGLES,0.0,20.140115218994197,🔸[OP3b]Mid Block(pressing triggers)✅,0,,,,,,,,,,,,,,,,,,,,.
251214_Sunderland_NewcastleUnited_ANALYST2ANGLES,0.0,31.002132400253686,"🔹[IP1b]GK Restart(short then long under pressure, 2nd ball)✅",0,,,,,,,,,,,,,,,,,,,,.
251214_Sunderland_NewcastleUnited_ANALYST2ANGLES,0.0,13.61009354605767,"🔹[OSP] Throw-in(R, MZ, escape the pressure)✅⭐️",0,,,,,,,,,,,,,,,,,,,,.
251214_Sunderland_NewcastleUnited_ANALYST2ANGLES,0.0,26.210174341405946,"🔹[OSP] Throw-in(L, long, 2nd phase, cross)🚧",0,,,,,,,,,,,,,,,,,,,,.
251214_Sunderland_NewcastleUnited_ANALYST2ANGLES,0.0,65.98032949957314,"🔹[IP4]Attacking Phase(3 crosses, momentum)✅⭐️",0,,,,,,,,,,,,,,,,,,,,.
251214_Sunderland_NewcastleUnited_ANALYST2ANGLES,0.0,26.80241509091411,"🔸[OP1a]GK Restart(HBlock, Hpress 2nd ball)✅",0,,,,,,,,,,,,,,,,,,,,.
251214_Sunderland_NewcastleUnited_ANALYST2ANGLES,0.0,41.861885049813736,🔸[OP3b]Mid Block(compactness?)🚧,0,,,,,,,,,,,,,,,,,,,,.
251214_Sunderland_NewcastleUnited_ANALYST2ANGLES,0.0,18.270101797480493,"🔸🔹Offensive transition(counter-attack, foul)✅",0,,,,,,,,,,,,,,,,,,🔸🔹[OT] Counter-attack,,.
251214_Sunderland_NewcastleUnited_ANALYST2ANGLES,0.0,13.810084427918355,"🔹[OSP] Free kick(deep, 2nd ball)🚧",0,,,,,,,,,,,,,,,,,,,,.
251214_Sunderland_NewcastleUnited_ANALYST2ANGLES,0.0,25.140170064325048,"🔸[OP3b]Mid Block(compactness, spaces opened between lines)🚧🔍",0,,,,,,,,,,,,,,,,,,🔸🔹[OT] Counter-attack,,.
251214_Sunderland_NewcastleUnited_ANALYST2ANGLES,0.0,22.040136538318166,"🔸🔹Offensive transition(counter-attack, turnover)❌",0,,,,,,,,,,,,,,,,,,🔸🔹[OT] Counter-attack,,.
251214_Sunderland_NewcastleUnited_ANALYST2ANGLES,0.0,25.544349724186304,"🔸[OP3b]Mid Block(switch, cross)✅",0,,,,,,,,,,,,,,,,,,,,.
251214_Sunderland_NewcastleUnited_ANALYST2ANGLES,0.0,18.88217659494785,"🔹[IP3a]Progression(flip the pressure, foul gained)✅",0,,,,,,,,,,,,,,,,,,,,.
251214_Sunderland_NewcastleUnited_ANALYST2ANGLES,0.0,15.860092046562386,"🔹[OSP] Free kick(deep, counter-attack)❌",0,,,,,,,,,,,,,,,,,,,,.
251214_Sunderland_NewcastleUnited_ANALYST2ANGLES,0.0,13.27006980867327,🔹🔸Defensive transition(counter-attack)❌,0,,Newcastle United,Contexte,20251214,MT 0,Journée 16,Domicile,78,80%,-,1/0,70 - 80,Tdefensive,,,,,,,.
251214_Sunderland_NewcastleUnited_ANALYST2ANGLES,0.0,15.930100876531014,🔸[DSP] Free kick(deep)✅,0,,,,,,,,,,,,,,,,,,,,.
251214_Sunderland_NewcastleUnited_ANALYST2ANGLES,0.0,14.550091418037937,"🔹[IP1a]GK Restart(HBlock, 2nd ball)🚧",0,,,,,,,,,,,,,,,,,,,,.
251214_Sunderland_NewcastleUnited_ANALYST2ANGLES,0.0,19.3801161557426,🔸[OP1a]GK Restart(missed MFM opportunity)❌,0,,,,,,,,,,,,,,,,,,,,.
