Timeline,Start time,Duration,Row,Instance number,<flag>Nouveau drapeau,Set Play Against,Set Play Phase,🔸[OP] --> 🔹[IP],🔸[OP] Zonal Defence,🔹[IP] Build/Progression Phase,🔹[IP] Final Third Phase,🔹[IP] Restart Phase,🔹[IP]--> 🔸[OP] ,Ungrouped,Notes,Flags
Sunderland v Brentford,0.0,50.19803395887993,[2a] OP GK Connected(positional play?)❌,0,,,,,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,16.520092662224215,Defensive Transition (Loss of Possession)✅,0,,,,,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,49.13197586219758,[1a] GK Restarts(positional play)❌,0,,,,,,,,"Short, Spare Man (vMFM)",,,,Nouveau drapeau
Sunderland v Brentford,0.0,29.20619030648959,[IP4] Attack the Box(cross)✅,0,,,,,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,22.0,"Attacking Throw In(L, HZ, cross)❌",0,,,"Att 1/3, Left",,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,21.5,[OP2a] High Press MFM ✅🔎,0,,,,,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,19.570118536359132,[2a] OP GK Connected(long)❌,0,,,,,,Vertical Pass,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,22.418547028743887,[OP2a] High Press MFM (retain possession)🚧,0,,,,,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,23.983457846870806,"[OP2a] High Press MFM (short, 2nd phase)✅",0,,,,,,,,,,,NS,Nouveau drapeau
Sunderland v Brentford,0.0,15.88754280050307,"Attacking Throw In(L, DZ)🚧",0,,,"Left, Def 1/3",,,,,,,,Flip Pressure,Nouveau drapeau
Sunderland v Brentford,0.0,10.96004937821317,"Attacking Throw In(L, MZ)🚧",0,,,"Mid 1/3, Left",,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,32.61022312575187,"[IP3a] Build (3+1, LTriangle)🚧",0,,,,,,Pin & Switch,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,27.51217595256321,[2a] OP GK Connected(LSide)❌,0,,,,,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,9.567507951430798,Defensive Transition (Loss of Possession)✅,0,,,,,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,26.0,Defending Free Kick(2 phases)✅,0,,,,,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,76.57706410271749,[2a] OP GK Connected✅,0,,,,,,Pin & Switch,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,13.700107293399924,[IP4] Attack the Box(cross)✅,0,,,,,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,15.069966169217878,[OP1b] GK Restarts (OS)✅,0,,,,,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,21.57013381802699,[IP4] Attack the Box(RTriangle)❌,0,,,,,,,Last Line Break,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,12.504628111047168,"[IP3a] Build (3+1, switch!)❌🔎",0,,,,,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,33.81183608561696,"[IP3a] Build (3+1, through)✅",0,,,,,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,18.270107892573833,Defensive Transition (Loss of Possession)✅⚠️,0,,,,,,,,,Counter Press,,,Nouveau drapeau
Sunderland v Brentford,0.0,36.401284487204975,"[OP3b] Mid Block(game plan, cross)🚧",0,,,,,Direct Ball,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,14.190096934523808,[OP4b] Box Defence (cross)✅,0,,,,,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,45.36008139231717,Defending Corner(mark?)⚠️,0,,,Left,,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,24.5,[1a] GK Restarts(No fix 2 ST before side pass → mate under pressure)🚧🔎,0,,,,,,,,"Short, Around",,,,Nouveau drapeau
Sunderland v Brentford,0.0,20.090090816150223,"[IP3a] Build (3+1, RTRiangle, not clean enough)🚧",0,,,,,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,28.172731493526953,[OP1a] GK Restart MFM❌,0,,,,,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,17.000149056053488,Defending Corner(L)✅,0,,,Left,,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,18.280175529444023,[1a] GK Restarts(spare-man)✅,0,,,,,,,,"Short, Spare Man (vMFM)",,,,Nouveau drapeau
Sunderland v Brentford,0.0,19.357760302041243,Attacking Free Kick(2-men)🚧,0,,,"Left, Deep",,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,15.96790014617909,"Attacking Throw In(R, HZ)✅",0,,,"Right, Att 1/3",,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,25.30012496696054,[OP3b] Mid Block✅,0,,,,,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,23.030103933436294,"Defending Free Kick(L, 2 phases)✅",0,,,,,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,18.96764448371141,"Defending Throw In(R, long)✅",0,,,,,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,16.2800795558951,Attacking Transition (Counter Attack)🚧,0,,,,,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,20.650109741908636,[OP3b] Mid Block✅,0,,,,,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,18.98014352426617,[IP3a] Build (3+1),0,,,,,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,22.61009428881607,"Attacking Throw In(R, HZ)✅",0,,,"Right, Att 1/3, Long",,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,29.779969832766255,[OP1b] GK Restarts (OS)✅,0,,,,,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,21.988143614306864,"Attacking Throw In(L, MZ)❌",0,,,"Left, Mid 1/3",,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,24.497294297630106,"Defending Throw In(, 2-men)✅",0,,,"Left, Mid 1/3, Long",,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,33.91818369350676,[1a] GK Restarts(under pressure)🚧,0,,,,,,,,"Short, Around",,,,Nouveau drapeau
Sunderland v Brentford,0.0,43.26459455181612,[IP3a] Build (3+1)🚧,0,,,,,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,28.062622280582218,"Attacking Throw In(L, HZ)🚧",0,,,"Left, Att 1/3, Long",,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,24.11570816334006,"[2a] OP GK Connected(long, 2nd ball)✅",0,,,,,,Vertical Pass,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,20.69011522627261,[IP4] Attack the Box(RTRiangle)🚧,0,,,,,,,Last Line Break,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,16.0,[OP1a] GK Restart MFM✅,0,,,,,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,11.929953051303528,"Attacking Throw In(R, MZ)❌",0,,,"Right, Att 1/3, Att 1/3",,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,15.790003985261137,[OP3a] High Block (GK Connected)✅,0,,,,,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,12.833236145904266,Attacking Free Kick❌,0,,,"Right, Deep",,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,27.047809593957936,[OP1a] GK Restart MFM(retain possession)❌,0,,,,,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,39.35629882318608,[OP3b] Mid Block(LTRiangle)🚧,0,,,,,Side Overloads,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,24.6226848228398,[1c] GK Restarts Direct (HB)❌,0,,,,,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,14.750091448753665,[OP3b] Mid Block(LTriangle)🚧,0,,,,,"Organisation & Triggers, Side Overloads",,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,19.77759469857847,"Defending Corner(L, 2-men)❌❌",0,,,,,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,23.0,Defending penalty❌❌,0,,,,,,,,,,Set Play Against,,Nouveau drapeau
Sunderland v Brentford,0.0,13.049971040249147,[1c] GK Restarts Direct (HB)✅,0,,,,,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,17.259951845237993,[OP1b] GK Restarts (OS)✅,0,,,,,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,24.4921778095204,"Attacking Corner(R, delivery)❌",0,,,Right,,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,40.26444320475275,[OP2a] High Press MFM ✅,0,,,,,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,24.816621383608435,Attacking Transition (Counter Attack)✅✅,0,,,,Counter Attack,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,33.5,[OP1b] GK Restarts (OS)❌,0,,,,,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,11.890069488378685,[OP4a] Low Block(RTriangle)❌,0,,,,,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,11.519979878046797,[OP4b] Box Defence (cross)✅,0,,,,,,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,17.519701253087987,[1a] GK Restarts❌,0,,,,,,,,Restart Quickly,,,,Nouveau drapeau
Sunderland v Brentford,0.0,29.489834227616484,[OP2a] High Press MFM ✅,0,,,,,Direct Ball,,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,21.838988367671845,"[IP3a] Build (3+1, composure)❌",0,,,,,,In-Behind,,,,,,Nouveau drapeau
Sunderland v Brentford,0.0,16.0,[OP1b] GK Restarts (OS)✅,0,,,,,,,,,,,,Nouveau drapeau
